variant,instructions,delta_from_parent,percent_from_parent,pdt_cursor_exclusive,pop_cursor_frame_exclusive,frame_bytes
parent,11836080718,0,0.0000,1484913131,279148494,40
packed_positions,11949202024,113121306,0.9557,1599663178,279148494,32
