variant,instructions,delta_from_parent,percent_from_parent,cursor_exclusive,cursor_delta,cursor_percent,frame_pop_exclusive,c_rust_ratio
parent,11588500898,0,0.000000,1488399423,0,0.000000,279148494,2.205501
pdt_terminal_sentinel,11656661711,68160813,0.588176,1556558587,68159164,4.579360,279148494,2.218474
