variant,instructions,delta_from_parent,percent_from_parent,argument_clones_exclusive,term_top_insert_exclusive,malloc_exclusive,int_free_exclusive,c_rust_ratio,processed_clauses
parent,12129703657,0,0.0000,50686811,264008366,313491791,392605682,2.3085,4873
borrowed_insert_metadata,11993700044,-136003613,-1.1212,7110531,256149191,290004395,364295535,2.2826,4873
