variant,instructions,delta_from_parent,percent_from_parent,deref_root_inclusive,aggregate_delta,aggregate_percent,c_rust_ratio,native_executable_bytes
parent,10805295203,0,0.000000,197441979,0,0.000000,2.056443,8641024
reuse_applied_deref_binding,10803270649,-2024554,-0.018737,195510044,-1931935,-0.978482,2.056058,8640000
