variant,instructions,delta_from_parent,percent_from_parent,frame_pop_exclusive,frame_pop_delta,frame_pop_percent,c_rust_ratio
parent,11588500898,0,0.000000,279148494,0,0.000000,2.205501
pdt_bulk_pop,11612239649,23738751,0.204847,303408905,24260411,8.690862,2.210019
