variant,instructions,delta_from_parent,percent_from_parent,pdt_cursor_exclusive,cursor_delta,c_rust_ratio
parent,10632641385,0,0.000000,1697827541,0,2.023584
single_borrow_pdt_expansion,10637694553,5053168,0.047525,1702881771,5054230,2.024546
