variant,instructions,delta_from_parent,percent_from_parent,pdt_cursor_exclusive,termtree_insert_exclusive,termtree_delta,norm_term_exclusive,norm_delta,rust_allocations,c_rust_ratio,native_executable_bytes
parent,10632641385,0,0.000000,1697827541,658651917,0,437245456,0,6312342,2.023584,8645120
force_inline_deref_always_wrapper,10630700102,-1941283,-0.018258,1697827541,642812341,-15839576,443318643,6073187,6312342,2.023215,8644608
