variant,instructions,delta_from_parent,percent_from_parent,init_exit_aggregate,aggregate_delta,aggregate_percent,c_rust_ratio,native_executable_bytes
parent,10914678029,0,0.000000,201643333,0,0.000000,2.077261,8650240
remove_pdt_init_cursor_reset,10875198328,-39479701,-0.361712,162163078,-39480255,-19.579251,2.069747,8632320
