"implementation","run","exit_code","status","wall_seconds","cpu_seconds","sampled_peak_kib","stdout_bytes","stderr"
"baseline","1","-1073740791",,"51.024649","48.734375","1845028","0","memory allocation of 402653184 bytes failed"
"candidate","1","-1073740791",,"50.460966","48.15625","1732668","0","memory allocation of 335544320 bytes failed"
