"implementation","run","exit_code","status","wall_seconds","cpu_seconds","sampled_peak_kib","stdout_bytes","stderr"
"baseline","1","-1073740791",,"49.670791","48.625","1838904","0","memory allocation of 402653184 bytes failed"
"candidate","1","-1073740791",,"56.198379","53.671875","1902472","0","memory allocation of 630080 bytes failed"
