variant,instructions,delta_from_parent,percent_from_parent,rust_alloc_calls,alloc_delta,alloc_percent,balance_stack_alloc_calls,c_rust_ratio,native_executable_bytes
parent,10497884296,0,0.000000,5845869,0,0.000000,340049,1.997937,8647680
reuse_kbo_balance_stack,10296792836,-201091460,-1.915543,5505821,-340048,-5.816894,1,1.959666,8650752
