variant,instructions,delta_from_parent,percent_from_parent,c_rust_ratio,native_executable_bytes
parent,11069284760,0,0.000000,2.106685,8643072
force_inline_deref_dispatch,10984397728,-84887032,-0.766870,2.090530,8648704
