variant,instructions,delta_from_parent,percent_from_parent,rewrite_top_copy,rewrite_top_copy_delta,replacement_top_copy,replacement_top_copy_delta,termtree_insert,termtree_delta,c_rust_ratio
parent,10497884296,0,0.000000,74598817,0,251336522,0,658699478,0,1.997937
remove_output_flag_delete,10498629565,745269,0.007099,74588182,-10635,251320749,-15773,659213397,513919,1.998079
