variant,instructions,delta_from_parent,percent_from_parent,cursor_exclusive,c_rust_ratio,processed_clauses
parent,12625510206,0,0.0000,1650291596,2.4029,4873
direct_first_order_symbol,12557467650,-68042556,-0.5389,1582253858,2.3899,4873
