"implementation","run","module_base","exit_code","status","wall_seconds","cpu_seconds","sampled_peak_kib","stdout_bytes","stderr"
"boxed-term-args-swv","1","0x7ff7e4140000","8","ResourceOut","63.263153","61.03125","2305916","359","eprover: CPU time limit exceeded, terminating"
"boxed-term-args-swv","2","0x7ff7e4140000","-1073740791",,"59.300932","57.65625","2307488","0","memory allocation of 160 bytes failed
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace"
"boxed-term-args-swv","3","0x7ff7e4140000","8","ResourceOut","61.625152","61.015625","2302780","359","eprover: CPU time limit exceeded, terminating"
