variant,instructions,delta_from_parent,percent_from_parent,varbank_get_fresh_var_exclusive,varbank_delta,varbank_percent,percent_total_gain_explained,termtree_insert_exclusive,c_rust_ratio,native_executable_bytes
parent,10632641385,0,0.000000,54637167,0,0.000000,0.000000,658651917,2.023584,8645120
direct_varbank_fresh_counts,10592796772,-39844613,-0.374739,34806054,-19831113,-36.296013,49.771127,658864229,2.016001,8643584
