variant,instructions,delta_from_parent,percent_from_parent,mgu_and_scratch_exclusive,aggregate_delta,aggregate_percent,rust_alloc_calls,c_rust_ratio
parent,10805295203,0,0.000000,226167230,0,0.000000,6457944,2.056443
reuse_mgu_job_queue,11038333778,233038575,2.156707,196432793,-29734437,-13.147102,6605733,2.100795
