variant,instructions,delta_from_parent,percent_from_parent,hash_insert_exclusive,c_rust_ratio,processed_clauses
parent,12525374625,0,0.0000,161994624,2.3838,4873
borrowed_term_hash,12407202652,-118171973,-0.9435,107487162,2.3613,4873
