variant,instructions,delta_from_parent,percent_from_parent,pdt_cursor_exclusive,is_applied_free_var_exclusive,c_rust_ratio
parent,11963095182,0,0.0000,1556297359,134063204,2.2768
first_order_symbol_expansion,11836080718,-127014464,-1.0617,1484913131,106212392,2.2526
