variant,instructions,delta_from_parent,percent_from_parent,comparator_exclusive,splay_exclusive,insert_exclusive,c_rust_ratio
parent,11588500898,0,0.000000000,510401663,204236401,126526904,2.205501
inline_hint,11588501371,473,0.000004082,510401663,204236401,126526904,2.205501
