variant,instructions,delta_from_parent,percent_from_parent,norm_term_exclusive,c_rust_ratio
parent,11793162707,0,0.0000,337700237,2.2445
specialized_always_deref,11736468593,-56694114,-0.4807,302975103,2.2337
