variant,instructions,delta_from_parent,percent_from_parent,deref_norm_aggregate,aggregate_delta,aggregate_percent,c_rust_ratio
parent,11401457666,0,0.000000,1115248621,0,0.000000,2.169904
force_inline_deref_always_step,11265328652,-136129014,-1.193961,980338780,-134909841,-12.096840,2.143996
