"problem","Vampire 5.0","iProver 3.9.3","iProver 3.9","cvc5 1.3.0"
"NUM923_30","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non"
"NUM926_10","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non"
"SWW471_20","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non"
"SWW473_10","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non"
"SWW470_10","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non"
"SWW470_20","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non"
"SWW477_30","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non"
"SWW473_30","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non"
"NUM925_10","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non"
"SWW478_30","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non"
"SWW477_10","+0.41","TMO‑Non","TMO‑Non","UNK‑Non"
"SWW474_20","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non"
"NUM926_30","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non"
"SCT171_10","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non"
"SWW473_20","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non"
"SWW478_20","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non"
"SCT170_30","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non"
"NUM926_40","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non"
"SWW478_10","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non"
"SWW477_20","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non"
"ITP304_1","+0.71","TMO‑Non","TMO‑Non","+58.39"
"SCT171_20","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non"
"SWW471_30","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non"
"ITP385_1","+2.55","TMO‑Non","TMO‑Non","+60.90"
"NUM925_20","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non"
"ITP391_1","+1.54","+1.66","+1.65","+56.48"
"NUM923_20","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non"
"SWW472_10","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non"
"NUM926_20","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non"
"SCT169_20","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non"
"SWW472_30","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non"
"SWW476_30","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non"
"SWW475_30","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non"
