"problem","Vampire 5.0","Twee 2.6.0","E 3.3.0","CSE_E 1.7","Drodi 4.1.0","Toma 0.7","iProver 3.9.3","Vampire 4.9","CSI_Enigma 1.0.6"
"MVA011‑1","TMO‑Non","+9.79","+1.21","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","4.40"
"LAT177‑1","+21.74","+24.66","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","83.46","31.05","TMO‑Non"
"LAT393‑2","+11.29","+1.99","+97.54","234.71","TMO‑Non","TMO‑Non","16.89","1.16","57.42"
"REL035‑1","+2.22","+3.06","+136.97","TMO‑Non","TMO‑Non","TMO‑Non","125.46","3.00","103.05"
"GRP753‑1","+14.77","+2.18","+3.50","157.47","+215.74","TMO‑Non","128.48","13.22","6.20"
"REL029‑3","+7.45","+3.56","+2.81","+8.72","TMO‑Non","+93.67","TMO‑Non","4.69","3.92"
"LAT157‑1","+4.14","+3.23","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","84.51","10.58","44.66"
"REL029‑1","TMO‑Non","+4.92","+3.36","+5.91","TMO‑Non","+85.46","UNK‑Non","TMO‑Non","4.39"
"REL010‑1","+30.20","+1.23","+27.21","TMO‑Non","TMO‑Non","TMO‑Non","179.49","3.98","4.20"
"LAT150‑1","+11.08","+10.88","TMO‑Non","TMO‑Non","+14.23","TMO‑Non","TMO‑Non","TMO‑Non","6.70"
"REL029‑10","+6.41","+9.41","+2.97","+12.44","TMO‑Non","+115.78","UNK‑Non","18.97","17.99"
"MVA009‑1","+2.51","+6.17","+5.83","TMO‑Non","TMO‑Non","TMO‑Non","76.08","1.04","5.77"
"LAT151‑1","+12.27","+29.15","TMO‑Non","+168.87","+12.98","TMO‑Non","+123.47","109.42","9.39"
"LAT174‑1","+4.60","+11.39","+19.62","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","2.33","19.57"
"KLE151‑10","+0.87","+0.77","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","13.28","11.63","TMO‑Non"
"REL034‑2","+3.60","+5.33","TMO‑Non","+72.47","TMO‑Non","TMO‑Non","86.17","5.94","16.89"
"COL066‑1","+1.27","+21.05","+89.57","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"LCL192‑10","+2.34","+8.00","+130.42","TMO‑Non","+24.51","TMO‑Non","+76.39","1.58","4.09"
"GRP695‑1","TMO‑Non","TMO‑Non","+48.86","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","42.55"
"REL034‑1","+2.26","+6.17","+167.61","TMO‑Non","TMO‑Non","TMO‑Non","117.98","3.38","159.64"
"BOO014‑10","+70.21","+31.81","+12.66","+29.53","TMO‑Non","TMO‑Non","236.03","13.16","33.38"
"CSR073‑10","+1.93","TMO‑Non","+1.56","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","1.52","5.70"
"CSR044‑10","+0.56","TMO‑Non","+0.67","TMO‑Non","TMO‑Non","TMO‑Non","+236.68","0.57","9.68"
"GRP654‑10","TMO‑Non","+1.19","+9.28","TMO‑Non","TMO‑Non","TMO‑Non","+143.50","36.46","9.73"
