"problem","Vampire 5.0","E 3.3.0","iProver 3.9.3","Drodi 4.1.0","CSE_E 1.7","ConnectPP 0.6.1","Vampire 4.9","CSI_Enigma 1.0.6"
"VAM008+1","+37.46","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","2.35","TMO‑Non"
"VVA008+1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","3.89","TMO‑Non"
"CSE009+1","+130.80","+223.36","TMO‑Non","TMO‑Non","310.32","TMO‑Non","27.21","48.89"
"CSI009+1","+198.35","+1.66","TMO‑Non","TMO‑Non","+8.72","TMO‑Non","TMO‑Non","7.35"
"DRO009+1","+6.28","+66.27","14.47","+24.49","TMO‑Non","TMO‑Non","8.04","245.20"
"EEE009+1","TMO‑Non","+1.20","TMO‑Non","TMO‑Non","276.25","TMO‑Non","TMO‑Non","6.31"
"IPR009+1","+3.48","+229.04","+237.23","253.32","UNK‑Non","TMO‑Non","5.58","17.94"
"VAM009+1","+11.83","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","14.60","TMO‑Non"
"VVA009+1","+208.70","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","13.18","TMO‑Non"
"CPP010+1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"CSE010+1","+302.25","+178.85","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","44.82","269.71"
"CSI010+1","+2.59","+33.59","+25.01","TMO‑Non","+23.24","TMO‑Non","5.54","6.88"
"DRO010+1","+0.45","+0.47","+54.10","+25.07","TMO‑Non","TMO‑Non","0.58","53.80"
"EEE010+1","+297.51","+19.34","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","136.31","TMO‑Non"
"IPR010+1","+23.61","+201.75","+93.01","+122.76","+334.15","TMO‑Non","2.66","276.18"
"VAM010+1","+9.49","TMO‑Non","+140.42","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"VVA010+1","+23.24","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","1.46","TMO‑Non"
"CPP011+1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"CSE011+1","TMO‑Non","+81.98","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","41.62","24.17"
"CSI011+1","+187.76","+217.46","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","288.81"
"DRO011+1","+1.62","+126.18","+73.12","+67.65","+284.45","TMO‑Non","1.50","8.39"
"EEE011+1","TMO‑Non","+44.97","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","32.95"
"IPR011+1","+448.54","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","12.72","5.43"
