"problem","Vampire 5.0","E 3.3.0","iProver 3.9.3","CSE_E 1.7","Drodi 4.1.0","ConnectPP 0.6.1","hopCoP 0.1","Vampire 4.9","CSI_Enigma 1.0.6","Zipperpin 2.1.9999","cvc5 1.3.0","Prover9 1109a","SPASS‑SCL 0.1","LastButNotLeast 0","LisaTT 0.9.1"
"LCL390+1*","+144.59","+1.62","TMO‑Non","+7.29","+10.81","TMO‑Non","TMO‑Non","101.95","4.35","UNK‑Non","TMO‑Non","92.75","TMO‑Non","GUP‑Non","UNK‑Non"
"LCL383+1*","+22.99","+1.82","TMO‑Non","+11.08","+31.45","TMO‑Non","TMO‑Non","TMO‑Non","3.55","UNK‑Non","TMO‑Non","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
"LCL403+2*","+46.88","+39.94","TMO‑Non","+29.02","226.56","TMO‑Non","TMO‑Non","64.03","8.02","UNK‑Non","UNK‑Non","15.49","TMO‑Non","GUP‑Non","TMO‑Non"
"NLP262+1","+13.42","+13.34","+45.48","+53.78","TMO‑Non","TMO‑Non","+16.42","29.43","16.69","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
"LCL656+1.015","+1.10","+29.90","+3.24","+7.05","TMO‑Non","TMO‑Non","TMO‑Non","0.61","3.82","UNK‑Non","122.88","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
"LCL390+2*","+48.59","+7.49","+142.05","+231.01","176.89","TMO‑Non","TMO‑Non","124.48","6.86","UNK‑Non","UNK‑Non","16.57","TMO‑Non","GUP‑Non","TMO‑Non"
"LCL374+1*","TMO‑Non","+7.22","TMO‑Non","+131.90","+82.80","TMO‑Non","TMO‑Non","TMO‑Non","7.82","UNK‑Non","TMO‑Non","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non"
"LCL368+2*","+34.23","+138.76","+87.05","TMO‑Non","+144.03","TMO‑Non","TMO‑Non","18.94","5.40","63.14","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non"
"LCL365+2*","+4.10","TMO‑Non","+14.78","TMO‑Non","+1.09","TMO‑Non","TMO‑Non","19.83","3.07","UNK‑Non","TMO‑Non","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
"LCL660+1.020","+0.96","TMO‑Non","+4.32","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","0.51","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
"CSR036+3","+0.70","TMO‑Non","+25.78","+69.87","+31.63","+178.18","TMO‑Non","1.10","9.63","UNK‑Non","TMO‑Non","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
"GEO168+1","+58.08","+149.69","+13.38","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","3.67","54.27","UNK‑Non","36.35","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
"LCL660+1.015","+0.46","TMO‑Non","+3.38","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","0.44","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
"LCL392+1*","+85.47","+2.20","TMO‑Non","+12.09","+59.68","TMO‑Non","TMO‑Non","159.63","3.33","UNK‑Non","TMO‑Non","217.30","TMO‑Non","GUP‑Non","TMO‑Non"
"LCL370+2*","+53.66","TMO‑Non","TMO‑Non","TMO‑Non","172.23","TMO‑Non","TMO‑Non","46.56","6.21","UNK‑Non","UNK‑Non","10.32","TMO‑Non","GUP‑Non","UNK‑Non"
"LCL392+2*","+55.43","+19.67","+176.17","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","4.81","UNK‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non"
"LCL373+2*","+122.68","TMO‑Non","TMO‑Non","TMO‑Non","173.38","TMO‑Non","TMO‑Non","29.30","21.47","UNK‑Non","TMO‑Non","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
"BOO109+1","+0.78","TMO‑Non","64.55","TMO‑Non","6.41","TMO‑Non","TMO‑Non","0.66","133.63","UNK‑Non","TMO‑Non","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non"
"LCL377+1*","TMO‑Non","+4.46","TMO‑Non","+30.90","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","6.42","UNK‑Non","TMO‑Non","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non"
