"problem","Vampire 4.9","Vampire 5.0","E 3.3.0","cvc5 1.3.0","Leo‑III 1.7.19"
"SLH0353^1","+0.49","+0.40","GUP‑Non","1.30","TMO‑Non"
"SLH0354^1","+0.38","+0.51","+2.02","1.08","UNK‑Non"
"SLH0355^1","+6.75","+7.68","+8.60","TMO‑Non","TMO‑Non"
"SLH0356^1","+1.53","+0.97","+11.60","1.78","TMO‑Non"
"SLH0357^1","+0.40","+0.33","+2.17","UNK‑Non","GUP‑Non"
"SLH0358^1","TMO‑Non","TMO‑Non","+11.19","UNK‑Non","TMO‑Non"
"SLH0359^1","+1.47","+2.21","+0.43","UNK‑Non","TMO‑Non"
"SLH0360^1","+0.86","+0.91","+1.96","TMO‑Non","TMO‑Non"
"SLH0361^1","+11.61","+10.11","+7.48","UNK‑Non","GUP‑Non"
"SLH0362^1","+1.72","+2.00","+6.65","12.05","TMO‑Non"
"SLH0363^1","TMO‑Non","TMO‑Non","+0.36","UNK‑Non","TMO‑Non"
"SLH0364^1","+10.37","+10.66","+3.73","TMO‑Non","TMO‑Non"
"SLH0365^1","+9.49","TMO‑Non","GUP‑Non","UNK‑Non","UNK‑Non"
"SLH0366^1","TMO‑Non","TMO‑Non","+2.55","UNK‑Non","TMO‑Non"
"SLH0367^1","TMO‑Non","TMO‑Non","+0.59","2.74","TMO‑Non"
"SLH0368^1","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non"
"SLH0369^1","+6.19","+12.19","UNK‑Non","4.74","TMO‑Non"
"SLH0370^1","+8.84","UNK‑Non","+8.34","TMO‑Non","TMO‑Non"
"SLH0371^1","TMO‑Non","TMO‑Non","+0.36","1.57","TMO‑Non"
"SLH0372^1","TMO‑Non","TMO‑Non","+1.13","TMO‑Non","GUP‑Non"
"SLH0373^1","+2.06","+2.70","+1.40","TMO‑Non","TMO‑Non"
"SLH0374^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0375^1","+0.61","+0.40","+2.21","TMO‑Non","TMO‑Non"
"SLH0376^1","+3.93","+3.83","GUP‑Non","1.88","GUP‑Non"
"SLH0377^1","TMO‑Non","TMO‑Non","GUP‑Non","1.66","TMO‑Non"
"SLH0378^1","TMO‑Non","TMO‑Non","+2.83","UNK‑Non","TMO‑Non"
"SLH0379^1","TMO‑Non","TMO‑Non","GUP‑Non","1.51","TMO‑Non"
"SLH0380^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0381^1","+2.27","+2.04","+2.15","UNK‑Non","TMO‑Non"
"SLH0382^1","+5.75","+5.79","+1.37","UNK‑Non","TMO‑Non"
"SLH0383^1","+1.43","+1.17","+1.76","2.74","TMO‑Non"
"SLH0384^1","TMO‑Non","+8.57","+1.41","UNK‑Non","UNK‑Non"
"SLH0385^1","TMO‑Non","TMO‑Non","GUP‑Non","1.85","TMO‑Non"
"SLH0386^1","+7.31","TMO‑Non","+4.74","UNK‑Non","TMO‑Non"
"SLH0387^1","TMO‑Non","TMO‑Non","+2.58","1.62","TMO‑Non"
"SLH0388^1","+0.24","+0.42","GUP‑Non","7.82","TMO‑Non"
"SLH0389^1","+1.08","+0.59","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0390^1","+0.36","+0.45","+1.47","UNK‑Non","TMO‑Non"
"SLH0391^1","TMO‑Non","TMO‑Non","+1.23","TMO‑Non","TMO‑Non"
"SLH0392^1","+2.22","+2.51","+1.44","1.68","TMO‑Non"
"SLH0393^1","+1.66","+1.00","+8.26","1.51","TMO‑Non"
"SLH0394^1","+2.06","+6.59","+1.09","UNK‑Non","TMO‑Non"
"SLH0395^1","+0.32","+0.30","+1.64","1.26","TMO‑Non"
"SLH0396^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0397^1","+3.47","+2.76","+1.17","UNK‑Non","GUP‑Non"
"SLH0398^1","+0.31","+0.07","+9.88","1.32","GUP‑Non"
"SLH0399^1","+0.66","+0.55","+2.63","UNK‑Non","TMO‑Non"
"SLH0400^1","+0.59","+0.37","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0401^1","+1.02","+0.87","+1.31","TMO‑Non","GUP‑Non"
"SLH0402^1","+10.36","+5.30","+1.35","1.30","TMO‑Non"
"SLH0403^1","+0.39","+0.41","+8.61","UNK‑Non","TMO‑Non"
"SLH0404^1","+0.52","+0.46","+3.48","TMO‑Non","TMO‑Non"
"SLH0405^1","+0.30","+0.54","+11.61","UNK‑Non","TMO‑Non"
"SLH0406^1","+0.87","+0.42","+1.60","1.34","UNK‑Non"
"SLH0407^1","+0.67","+0.93","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0408^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0409^1","TMO‑Non","TMO‑Non","+8.09","TMO‑Non","TMO‑Non"
"SLH0410^1","UNK‑Non","TMO‑Non","+1.53","1.42","TMO‑Non"
"SLH0411^1","+2.93","+2.41","+0.53","UNK‑Non","TMO‑Non"
"SLH0412^1","TMO‑Non","TMO‑Non","+8.84","UNK‑Non","TMO‑Non"
"SLH0413^1","+0.91","+0.93","+1.52","1.00","TMO‑Non"
"SLH0414^1","+5.01","+1.57","+2.33","1.21","TMO‑Non"
"SLH0415^1","+1.02","+0.45","+10.24","1.94","TMO‑Non"
"SLH0416^1","+0.34","+0.49","GUP‑Non","7.99","TMO‑Non"
"SLH0417^1","+14.55","+12.57","+4.50","UNK‑Non","TMO‑Non"
"SLH0418^1","+2.99","+5.33","+6.30","UNK‑Non","TMO‑Non"
"SLH0419^1","+2.35","+9.45","+3.22","UNK‑Non","TMO‑Non"
"SLH0420^1","+2.02","+2.07","+3.23","2.76","TMO‑Non"
"SLH0421^1","+1.93","+1.73","+0.90","2.10","TMO‑Non"
"SLH0422^1","+3.90","+2.95","+11.30","1.52","GUP‑Non"
"SLH0423^1","+6.00","+4.94","TMO‑Non","12.07","UNK‑Non"
"SLH0424^1","+8.11","+8.87","+4.00","2.79","TMO‑Non"
"SLH0425^1","+1.57","TMO‑Non","+0.34","UNK‑Non","TMO‑Non"
"SLH0426^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0427^1","+0.46","+0.48","+1.55","UNK‑Non","GUP‑Non"
"SLH0428^1","+7.13","+6.13","UNK‑Non","2.52","TMO‑Non"
"SLH0429^1","TMO‑Non","TMO‑Non","+1.60","UNK‑Non","TMO‑Non"
"SLH0430^1","+8.82","+4.66","+7.62","TMO‑Non","UNK‑Non"
"SLH0431^1","TMO‑Non","TMO‑Non","+1.26","UNK‑Non","TMO‑Non"
"SLH0432^1","+0.48","+0.33","+11.61","TMO‑Non","TMO‑Non"
"SLH0433^1","+1.51","+1.93","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0434^1","TMO‑Non","+11.88","+3.60","UNK‑Non","TMO‑Non"
"SLH0435^1","TMO‑Non","TMO‑Non","+10.93","7.57","TMO‑Non"
"SLH0436^1","+2.96","+2.88","+9.12","TMO‑Non","TMO‑Non"
"SLH0437^1","TMO‑Non","TMO‑Non","+0.39","TMO‑Non","TMO‑Non"
"SLH0438^1","+7.97","+6.63","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0439^1","+3.56","+3.53","+10.53","TMO‑Non","TMO‑Non"
"SLH0440^1","+0.95","+0.71","+1.43","UNK‑Non","TMO‑Non"
"SLH0441^1","TMO‑Non","TMO‑Non","GUP‑Non","1.89","UNK‑Non"
"SLH0442^1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SLH0443^1","TMO‑Non","TMO‑Non","+7.46","2.74","TMO‑Non"
"SLH0444^1","TMO‑Non","TMO‑Non","UNK‑Non","3.86","TMO‑Non"
"SLH0445^1","+2.69","+12.97","TMO‑Non","UNK‑Non","TMO‑Non"
"SLH0446^1","TMO‑Non","TMO‑Non","+1.92","TMO‑Non","TMO‑Non"
"SLH0447^1","+1.04","+0.79","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0448^1","TMO‑Non","TMO‑Non","+0.82","1.74","TMO‑Non"
"SLH0449^1","TMO‑Non","TMO‑Non","+4.14","1.92","TMO‑Non"
"SLH0450^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0451^1","+0.70","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0452^1","TMO‑Non","TMO‑Non","+3.13","UNK‑Non","TMO‑Non"
"SLH0453^1","+0.31","+0.40","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0454^1","+0.70","+0.58","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0455^1","+1.59","+1.25","+1.61","UNK‑Non","TMO‑Non"
"SLH0456^1","+11.21","UNK‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0457^1","+0.53","+0.45","GUP‑Non","1.23","GUP‑Non"
"SLH0458^1","TMO‑Non","+10.04","+1.47","UNK‑Non","TMO‑Non"
"SLH0459^1","TMO‑Non","TMO‑Non","+1.93","3.30","TMO‑Non"
"SLH0460^1","+10.35","+10.23","+2.84","TMO‑Non","TMO‑Non"
"SLH0461^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0462^1","+3.85","+3.90","+0.41","7.41","TMO‑Non"
"SLH0463^1","TMO‑Non","TMO‑Non","+2.12","TMO‑Non","TMO‑Non"
"SLH0464^1","TMO‑Non","TMO‑Non","+5.31","1.92","TMO‑Non"
"SLH0465^1","+0.30","+0.40","UNK‑Non","1.48","GUP‑Non"
"SLH0466^1","+0.42","+0.35","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0467^1","+0.42","+0.37","+11.97","UNK‑Non","TMO‑Non"
"SLH0468^1","+0.98","+0.84","+1.44","UNK‑Non","TMO‑Non"
"SLH0469^1","+3.28","+5.07","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0470^1","+3.84","+2.47","+1.00","TMO‑Non","TMO‑Non"
"SLH0471^1","TMO‑Non","TMO‑Non","+0.86","UNK‑Non","TMO‑Non"
"SLH0472^1","+8.93","+4.56","+2.57","1.90","TMO‑Non"
"SLH0473^1","TMO‑Non","TMO‑Non","GUP‑Non","2.05","TMO‑Non"
"SLH0474^1","TMO‑Non","+0.98","GUP‑Non","TMO‑Non","UNK‑Non"
"SLH0475^1","+0.42","+0.44","UNK‑Non","UNK‑Non","TMO‑Non"
"SLH0476^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0477^1","TMO‑Non","TMO‑Non","+2.03","1.82","TMO‑Non"
"SLH0478^1","+0.52","+0.47","+0.95","TMO‑Non","TMO‑Non"
"SLH0479^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0480^1","TMO‑Non","TMO‑Non","+6.02","UNK‑Non","TMO‑Non"
"SLH0481^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0482^1","+3.29","+2.62","+13.66","UNK‑Non","TMO‑Non"
"SLH0483^1","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non"
"SLH0484^1","+2.12","+1.24","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0485^1","+0.53","+0.28","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0486^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0487^1","+3.36","+7.65","GUP‑Non","1.43","TMO‑Non"
"SLH0488^1","TMO‑Non","TMO‑Non","+4.61","TMO‑Non","TMO‑Non"
"SLH0489^1","+0.33","UNK‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0490^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0491^1","+0.91","+1.77","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0492^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0493^1","+3.37","+2.69","GUP‑Non","UNK‑Non","GUP‑Non"
"SLH0494^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0495^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","UNK‑Non"
"SLH0496^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0497^1","TMO‑Non","TMO‑Non","GUP‑Non","1.33","TMO‑Non"
"SLH0498^1","+3.47","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0499^1","+0.34","+0.36","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0500^1","+7.05","+11.19","+8.23","UNK‑Non","TMO‑Non"
"SLH0501^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0502^1","+3.26","+2.63","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0503^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","GUP‑Non"
"SLH0504^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","GUP‑Non"
"SLH0505^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0506^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0507^1","+2.81","+4.00","GUP‑Non","1.88","TMO‑Non"
"SLH0508^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0509^1","+6.58","+6.38","+9.98","TMO‑Non","UNK‑Non"
"SLH0510^1","TMO‑Non","TMO‑Non","+6.16","UNK‑Non","TMO‑Non"
"SLH0511^1","+2.17","+2.75","+2.09","12.37","TMO‑Non"
"SLH0512^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0513^1","+4.52","+8.38","GUP‑Non","TMO‑Non","GUP‑Non"
"SLH0514^1","TMO‑Non","+12.14","+0.39","TMO‑Non","TMO‑Non"
"SLH0515^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0516^1","+0.49","+0.47","TMO‑Non","TMO‑Non","TMO‑Non"
"SLH0517^1","+0.52","+0.42","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0518^1","TMO‑Non","+11.00","GUP‑Non","1.14","TMO‑Non"
"SLH0519^1","TMO‑Non","TMO‑Non","+1.85","TMO‑Non","TMO‑Non"
"SLH0520^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0521^1","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non","TMO‑Non"
"SLH0522^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","4.87"
"SLH0523^1","+2.88","+2.76","UNK‑Non","UNK‑Non","TMO‑Non"
"SLH0524^1","TMO‑Non","TMO‑Non","GUP‑Non","1.93","TMO‑Non"
"SLH0525^1","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non","TMO‑Non"
"SLH0526^1","TMO‑Non","TMO‑Non","+12.60","1.71","GUP‑Non"
"SLH0527^1","+1.72","+1.67","GUP‑Non","TMO‑Non","UNK‑Non"
"SLH0528^1","UNK‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0529^1","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non","TMO‑Non"
"SLH0530^1","+2.73","+1.57","+9.67","UNK‑Non","TMO‑Non"
"SLH0531^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0532^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0533^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0534^1","TMO‑Non","TMO‑Non","+5.13","UNK‑Non","TMO‑Non"
"SLH0535^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","GUP‑Non"
"SLH0536^1","TMO‑Non","TMO‑Non","+13.25","UNK‑Non","TMO‑Non"
"SLH0537^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0538^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0539^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0540^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0541^1","+13.74","+5.67","+8.41","UNK‑Non","TMO‑Non"
"SLH0542^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0543^1","+1.59","+5.27","UNK‑Non","UNK‑Non","TMO‑Non"
"SLH0544^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0545^1","UNK‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0546^1","TMO‑Non","UNK‑Non","+1.18","TMO‑Non","UNK‑Non"
"SLH0547^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","GUP‑Non"
"SLH0548^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0549^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0550^1","+2.52","+2.28","+12.27","UNK‑Non","GUP‑Non"
"SLH0551^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0552^1","+0.41","+0.49","+4.40","TMO‑Non","TMO‑Non"
"SLH0553^1","TMO‑Non","TMO‑Non","+11.65","UNK‑Non","TMO‑Non"
"SLH0554^1","+9.08","+7.66","UNK‑Non","UNK‑Non","UNK‑Non"
"SLH0555^1","+3.19","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0556^1","TMO‑Non","TMO‑Non","+1.42","TMO‑Non","TMO‑Non"
"SLH0557^1","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non","TMO‑Non"
"SLH0558^1","+4.74","TMO‑Non","GUP‑Non","7.75","TMO‑Non"
"SLH0559^1","+0.51","+0.53","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0560^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0561^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0562^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0563^1","TMO‑Non","TMO‑Non","+3.37","UNK‑Non","TMO‑Non"
"SLH0564^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0565^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0566^1","TMO‑Non","+0.45","UNK‑Non","TMO‑Non","TMO‑Non"
"SLH0567^1","+8.06","+13.11","+13.46","UNK‑Non","TMO‑Non"
"SLH0568^1","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","UNK‑Non"
"SLH0569^1","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non"
"SLH0570^1","TMO‑Non","TMO‑Non","+5.60","UNK‑Non","TMO‑Non"
"SLH0571^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0572^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0573^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0574^1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SLH0575^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0576^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0577^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0578^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","GUP‑Non"
"SLH0579^1","TMO‑Non","TMO‑Non","GUP‑Non","2.07","TMO‑Non"
"SLH0580^1","TMO‑Non","UNK‑Non","GUP‑Non","UNK‑Non","GUP‑Non"
"SLH0581^1","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non"
"SLH0582^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0583^1","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non"
"SLH0584^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0585^1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SLH0586^1","TMO‑Non","UNK‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0587^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0588^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0589^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0590^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0591^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","GUP‑Non"
"SLH0592^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0593^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0594^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0595^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0596^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0597^1","TMO‑Non","TMO‑Non","GUP‑Non","3.02","TMO‑Non"
"SLH0598^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","UNK‑Non"
"SLH0599^1","+0.95","+0.97","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0600^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0601^1","+14.56","UNK‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0602^1","TMO‑Non","UNK‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0603^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0604^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","UNK‑Non"
"SLH0605^1","+8.09","+14.75","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0606^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0607^1","+12.24","TMO‑Non","GUP‑Non","1.99","TMO‑Non"
"SLH0608^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0609^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0610^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0611^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0612^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0613^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0614^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","UNK‑Non"
"SLH0615^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0616^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0617^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0618^1","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non","TMO‑Non"
"SLH0619^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0620^1","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non"
"SLH0621^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0622^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0623^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0624^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0625^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0626^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0627^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0628^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0629^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0630^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0631^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0632^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0633^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0634^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0635^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0636^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0637^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0638^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0639^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0640^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0641^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0642^1","TMO‑Non","UNK‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0643^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0644^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0645^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0646^1","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non"
"SLH0647^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0648^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0649^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0650^1","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non"
"SLH0651^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0652^1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"SLH0653^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0654^1","TMO‑Non","UNK‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0655^1","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non"
