"problem","Vampire 4.9","Vampire 5.0","E 3.3.0","cvc5 1.3.0","Leo‑III 1.7.19"
"SLH0086^1","+0.46","+0.43","+0.85","1.79","TMO‑Non"
"SLH0087^1","+0.54","+0.38","+0.91","1.81","TMO‑Non"
"SLH0088^1","+1.10","+1.04","+0.39","1.89","TMO‑Non"
"SLH0089^1","+0.37","+0.52","+1.71","TMO‑Non","TMO‑Non"
"SLH0090^1","+0.40","+0.36","+9.62","TMO‑Non","TMO‑Non"
"SLH0091^1","+0.46","+0.44","+0.95","2.02","TMO‑Non"
"SLH0092^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0093^1","+0.47","+0.45","+0.46","1.40","TMO‑Non"
"SLH0094^1","+0.32","+0.45","+0.35","7.76","TMO‑Non"
"SLH0095^1","+0.73","+0.55","+0.36","1.80","TMO‑Non"
"SLH0096^1","+0.65","+0.56","+1.41","1.91","TMO‑Non"
"SLH0097^1","+4.85","+4.43","+0.36","8.94","TMO‑Non"
"SLH0098^1","+0.34","+0.39","+0.46","1.18","GUP‑Non"
"SLH0099^1","+0.39","+0.43","+0.93","1.04","TMO‑Non"
"SLH0100^1","+0.29","+0.33","+0.35","8.95","TMO‑Non"
"SLH0101^1","+0.35","+0.44","+2.61","1.13","TMO‑Non"
"SLH0102^1","+0.45","+0.47","+0.35","12.13","TMO‑Non"
"SLH0103^1","+0.56","+0.37","+1.19","1.68","TMO‑Non"
"SLH0104^1","+0.38","+0.44","+1.86","1.79","TMO‑Non"
"SLH0105^1","+0.27","+0.40","+1.03","7.65","TMO‑Non"
"SLH0106^1","+0.39","+0.36","+0.39","1.18","TMO‑Non"
"SLH0107^1","TMO‑Non","TMO‑Non","+1.07","TMO‑Non","TMO‑Non"
"SLH0108^1","+0.35","+0.35","+1.14","1.03","TMO‑Non"
"SLH0109^1","+1.29","+1.14","+0.52","1.14","TMO‑Non"
"SLH0110^1","+0.76","+0.53","+0.38","1.03","TMO‑Non"
"SLH0111^1","+0.30","+0.90","+10.14","TMO‑Non","TMO‑Non"
"SLH0112^1","+0.28","+0.13","+0.43","1.14","UNK‑Non"
"SLH0113^1","+0.35","+0.38","+0.40","UNK‑Non","TMO‑Non"
"SLH0114^1","+0.37","+0.27","+0.48","1.10","TMO‑Non"
"SLH0115^1","+3.05","+2.86","+0.94","1.50","TMO‑Non"
