variant,instructions,delta_from_parent,percent_from_parent,pdt_cursor_exclusive,cursor_delta,cursor_percent
parent,11736468593,0,0.0000,1484913131,0,0.0000
constraint_snapshot,11747991449,11522856,0.0982,1496435383,11522252,0.7760
