variant,instructions,delta_from_parent,percent_from_parent,norm_deref_aggregate,norm_deref_delta,c_rust_ratio
parent,11597998592,0,0.000000,854791165,0,2.2073
direct_always_nonvar,11588500898,-9497694,-0.081891,860451604,5660439,2.205501
