variant,instructions,delta_from_parent,percent_from_parent,argument_clones_exclusive,collector_exclusive,malloc_exclusive,int_free_exclusive,c_rust_ratio,processed_clauses
parent,12407202652,0,0.0000,144209013,125137842,358177535,449772846,2.3613,4873
borrowed_subterm_collection,12129703657,-277498995,-2.2366,50686811,107793589,313491791,392605682,2.3085,4873
