variant,instructions,delta_from_parent,percent_from_parent,deref_root_inclusive,aggregate_delta,aggregate_percent,c_rust_ratio,native_executable_bytes
parent,10875198328,0,0.000000,267900072,0,0.000000,2.069747,8632320
fuse_deref_root_limit_check,10805295203,-69903125,-0.642776,197441979,-70458093,-26.300140,2.056443,8641024
