variant,instructions,delta_from_parent,percent_from_parent,splay_insert_aggregate,splay_insert_delta,splay_insert_percent,c_rust_ratio
parent,11453487340,0,0.000000,706538649,0,0.000000,2.179806
force_inline_splay,11401457666,-52029674,-0.454269,653988753,-52549896,-7.437653,2.169904
