variant,instructions,delta_from_parent,percent_from_parent,pdt_cursor_exclusive,pdt_cursor_delta,cursor_add_binding_calls,cursor_backtrack_calls,termtree_insert_exclusive,norm_term_exclusive,rust_allocations,c_rust_ratio
parent,10632641385,0,0.000000,1697827541,0,284354,15371,658651917,437245456,6312342,2.023584
pdt_terminal_subst_reuse,10644748403,12107018,0.113867,1708345061,10517520,281186,12203,659099457,437245456,6312342,2.025888
