variant,instructions,delta_from_parent,percent_from_parent,search_init_aggregate,aggregate_delta,aggregate_percent,c_rust_ratio
parent,10914678029,0,0.000000,130723511,0,0.000000,2.077261
force_inline_pdt_search_init,11069467015,154788986,1.418173,114054070,-16669441,-12.751678,2.106720
