variant,instructions,delta_from_parent,percent_from_parent,remove_duplicates_inclusive,dedup_delta,dedup_percent,rust_alloc_calls,alloc_delta,alloc_percent,c_rust_ratio,native_executable_bytes
parent,10296792836,0,0.000000,38287260,0,0.000000,5505821,0,0.000000,1.959666,8650752
skip_short_literal_dedup,10220936205,-75856631,-0.736702,1570140,-36717120,-95.899054,5258856,-246965,-4.485525,1.945229,8650752
