variant,instructions,delta_from_parent,percent_from_parent,comparator_exclusive,splay_exclusive,insert_exclusive,c_rust_ratio
parent,11836080718,0,0.0000,528924305,218240785,133867478,2.2526
direct_ordering,11798391251,-37689467,-0.3184,512581477,204236401,126526904,2.2454
