variant,instructions,delta_from_parent,percent_from_parent,deref_norm_aggregate,aggregate_delta,aggregate_percent,c_rust_ratio
parent,11265328652,0,0.000000,980338780,0,0.000000,2.143996
force_inline_deref_always_loop,11069284760,-196043892,-1.740241,784287784,-196050996,-19.998290,2.106685
