variant,instructions,delta_from_parent,percent_from_parent,term_tree_aggregate,term_tree_delta,term_tree_percent,c_rust_ratio
parent,11588500898,0,0.000000,841164968,0,0.000000,2.205501
force_inline,11453487340,-135013558,-1.165065,706538649,-134626319,-16.004746,2.179806
