variant,instructions,delta_from_parent,percent_from_parent,term_cell_insert_aggregate,aggregate_delta,aggregate_percent,c_rust_ratio,native_executable_bytes
parent,10984397728,0,0.000000,798168224,0,0.000000,2.090530,8648704
force_inline_term_tree_insert,10946368419,-38029309,-0.346212,758951358,-39216866,-4.913358,2.083292,8649216
