variant,instructions,delta_from_parent,percent_from_parent,clause_clone_calls,clone_delta,clone_percent,rust_alloc_calls,alloc_delta,alloc_percent,c_rust_ratio,native_executable_bytes
parent,10220936205,0,0.000000,136318,0,0.000000,5258856,0,0.000000,1.945229,8650752
detached_indexed_target_position,10145909203,-75027002,-0.734052,78856,-57462,-42.152907,5086470,-172386,-3.278013,1.930950,8645120
