phase,pair,position,label,wall_seconds,cpu_seconds,user_seconds,system_seconds,status,stdout_sha256,stdout_len,stderr_len
measurement,16,2,parent,1.505773264,1.505363000,1.433346000,0.072017000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,17,1,parent,1.496235752,1.495691000,1.417707000,0.077984000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,17,2,candidate,1.503384648,1.503016000,1.443015000,0.060001000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,18,1,candidate,1.525887445,1.525499000,1.454475000,0.071024000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,18,2,parent,1.528228464,1.527791000,1.460800000,0.066991000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,19,1,parent,1.507577882,1.507211000,1.436200000,0.071011000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,19,2,candidate,1.516337415,1.515700000,1.464709000,0.050991000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,20,1,candidate,1.507887402,1.507546000,1.443565000,0.063981000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,20,2,parent,1.500953062,1.500569000,1.426590000,0.073979000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,21,1,parent,1.509259414,1.508883000,1.436888000,0.071995000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,21,2,candidate,1.498727262,1.498365000,1.424396000,0.073969000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,22,1,candidate,1.494135482,1.493791000,1.425801000,0.067990000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,22,2,parent,1.491549687,1.491168000,1.419207000,0.071961000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,23,1,parent,1.514356251,1.513770000,1.448780000,0.064990000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,23,2,candidate,1.501979910,1.501524000,1.433500000,0.068024000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,24,1,candidate,1.505462080,1.505023000,1.434022000,0.071001000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,24,2,parent,1.507748818,1.507362000,1.431394000,0.075968000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,25,1,parent,1.530271905,1.529879000,1.459884000,0.069995000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,25,2,candidate,1.495594633,1.495122000,1.419116000,0.076006000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,26,1,candidate,1.505175744,1.504802000,1.438810000,0.065992000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,26,2,parent,1.501736090,1.501337000,1.442363000,0.058974000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,27,1,parent,1.491796902,1.491471000,1.420497000,0.070974000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,27,2,candidate,1.517660405,1.517229000,1.456219000,0.061010000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,28,1,candidate,1.512296913,1.511942000,1.441945000,0.069997000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,28,2,parent,1.506840500,1.506468000,1.446489000,0.059979000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,29,1,parent,1.498467253,1.498033000,1.429031000,0.069002000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,29,2,candidate,1.517475772,1.516754000,1.435766000,0.080988000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,30,1,candidate,1.515374346,1.514976000,1.432978000,0.081998000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,30,2,parent,1.515663232,1.515027000,1.435025000,0.080002000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,31,1,parent,1.517198307,1.516838000,1.434846000,0.081992000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,31,2,candidate,1.519333818,1.518911000,1.440916000,0.077995000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,32,1,candidate,1.498478097,1.498123000,1.439157000,0.058966000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,32,2,parent,1.505082431,1.504477000,1.426504000,0.077973000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,33,1,parent,1.500509470,1.500062000,1.430059000,0.070003000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,33,2,candidate,1.517734962,1.517366000,1.435354000,0.082012000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,34,1,candidate,1.498771233,1.498164000,1.434157000,0.064007000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,34,2,parent,1.511026485,1.510537000,1.438511000,0.072026000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,35,1,parent,1.497725179,1.497276000,1.423262000,0.074014000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,35,2,candidate,1.505095528,1.504667000,1.432683000,0.071984000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,36,1,candidate,1.544127286,1.543651000,1.462616000,0.081035000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,36,2,parent,1.489789982,1.489428000,1.416407000,0.073021000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,37,1,parent,1.482965417,1.482462000,1.408439000,0.074023000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,37,2,candidate,1.505542707,1.505130000,1.434124000,0.071006000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,38,1,candidate,1.496525487,1.496061000,1.432058000,0.064003000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,38,2,parent,1.510241700,1.509847000,1.450853000,0.058994000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,39,1,parent,1.500651699,1.500276000,1.430263000,0.070013000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,39,2,candidate,1.508224452,1.507884000,1.427890000,0.079994000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,40,1,candidate,1.513660135,1.513291000,1.437276000,0.076015000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,40,2,parent,1.550677800,1.550290000,1.490317000,0.059973000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,41,1,parent,1.515393130,1.514965000,1.446967000,0.067998000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,41,2,candidate,1.511559472,1.511115000,1.452110000,0.059005000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,42,1,candidate,1.517239135,1.516848000,1.437856000,0.078992000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,42,2,parent,1.486715400,1.486241000,1.430232000,0.056009000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
measurement,43,1,parent,1.495763169,1.495387000,1.419418000,0.075969000,0,b50bfb29a2fa3728792a422be2bd83a54c436fa1536c79b8d95c1c1f8c7f427d,378,0
