variant,instructions,delta_from_parent,percent_from_parent,mgu_queue_exclusive,aggregate_delta,aggregate_percent,rust_alloc_calls,c_rust_ratio,native_executable_bytes
parent,10805295203,0,0.000000,261887237,0,0.000000,6457944,2.056443,8641024
pair_mgu_job_deque,10658676694,-146618509,-1.356913,89977360,-171909877,-65.642709,6457944,2.028539,8633344
