variant,instructions,delta_from_parent,percent_from_parent,norm_term_exclusive,local_delta,local_percent,rust_alloc_calls,c_rust_ratio
parent,10644647204,0,0.000000,437245456,0,0.000000,6312342,2.025869
inline_subst_norm_stack,10677584490,32937286,0.309426,523670594,86425138,19.765817,6225356,2.032137
