variant,instructions,delta_from_parent,percent_from_parent,rewrite_top_copy,rewrite_top_copy_delta,replacement_top_copy,replacement_top_copy_delta,rust_alloc_calls,c_rust_ratio,native_executable_bytes
parent,10497884296,0,0.000000,74598817,0,251336522,0,5845869,1.997937,8647680
direct_top_copy,10421072451,-76811845,-0.731689,64631722,-9967095,216569857,-34766665,5845869,1.983319,8670720
