variant,instructions,delta_from_parent,percent_from_parent,clause_clone_calls,clone_delta,clone_percent,rust_alloc_calls,alloc_delta,alloc_percent,proof_parent_lookup_calls,lookup_delta,lookup_percent,c_rust_ratio,native_executable_bytes
parent,10089561875,0,0.000000,12174,0,0.000000,4886424,0,0.000000,379349,0,0.000000,1.920226,8638976
lazy_ac_parent_snapshot,10010100796,-79461079,-0.787557,12174,0,0.000000,4380910,-505514,-10.345275,0,-379349,-100.000000,1.905103,8640000
