variant,instructions,delta_from_parent,percent_from_parent,comparator_exclusive,splay_exclusive,insert_exclusive
parent,11798391251,0,0.0000,512581477,204236401,126526904
direct_identity_order,11805060446,6669195,0.0565,519615632,204258854,126530467
