phase,contract_id,min_side_literals,min_main_literals,min_positive_choices,records,problems,families,aggregate_ratio,p95_ratio,maximum_problem_median_ratio,problem_balanced_median_ratio,maximum_estimated_bytes,sample_eligible,calibration_gate
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,2,10,0,1457,6,5,9.630745843452651,6.3116233447768515,154.01111111111112,26.52287940692281,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,2,10,4,900,4,4,9.073803551089918,6.01755122606651,154.01111111111112,19.922499189510464,61976,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,2,10,8,629,4,4,7.542388966860555,6.155342175929693,154.01111111111112,13.544852192062953,61976,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,2,10,16,211,2,2,13.52470131787345,5.597401830528491,87.03522504892368,57.43567316220361,61976,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,2,10,32,18,2,2,68.1606637218258,14.051561365286856,192.70047543581617,117.93607375686912,46200,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,2,11,0,1244,6,5,9.393097068969137,6.246203492786636,154.01111111111112,25.91214217253281,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,2,11,4,851,4,4,8.844914125465117,6.155405405405405,154.01111111111112,19.722702029267055,61976,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,2,11,8,583,4,4,7.263710045822156,6.1536728618553385,154.01111111111112,14.530061469999737,61976,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,2,11,16,195,2,2,13.200225551920663,5.502856163601051,87.03522504892368,60.46838048935487,61976,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,2,11,32,18,2,2,68.1606637218258,14.051561365286856,192.70047543581617,117.93607375686912,46200,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,2,12,0,884,6,5,10.547007900185841,6.847727719850482,154.01111111111112,27.41580197439746,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,2,12,4,710,4,4,10.207393355106218,7.152904328018224,154.01111111111112,22.616805413415793,61976,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,2,12,8,450,4,4,8.197428113763399,6.939955203308063,154.01111111111112,12.723005145419686,61976,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,2,12,16,168,2,2,11.95918808564673,5.0813904420297495,86.0,60.42986369268897,61976,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,2,12,32,18,2,2,68.1606637218258,14.051561365286856,192.70047543581617,117.93607375686912,46200,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,2,0,9360,15,12,12.042896008878284,11.805071315372425,73.61971830985915,18.895652173913042,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,2,4,4543,14,11,11.347239715318183,8.2387882890506,73.26538461538462,14.633020637898685,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,2,8,2394,10,8,11.10351791012556,7.105332063794335,104.83763837638377,15.94316065164566,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,2,16,616,8,6,16.791958420856723,8.629637481450073,142.6797900262467,25.466232357030886,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,2,32,23,3,3,32.718982936908084,14.051561365286856,192.70047543581617,43.171672077922075,56472,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,3,0,9188,15,12,12.016443652844243,11.591035548686245,73.61971830985915,18.895652173913042,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,3,4,4543,14,11,11.347239715318183,8.2387882890506,73.26538461538462,14.633020637898685,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,3,8,2394,10,8,11.10351791012556,7.105332063794335,104.83763837638377,15.94316065164566,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,3,16,616,8,6,16.791958420856723,8.629637481450073,142.6797900262467,25.466232357030886,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,3,32,23,3,3,32.718982936908084,14.051561365286856,192.70047543581617,43.171672077922075,56472,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,4,0,7791,15,12,12.121551445881257,10.48919197117859,61.92,23.051044083526683,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,3,4,4,4229,14,11,11.563785407868796,8.090967846178705,82.61525423728814,17.156569259088815,61976,True,False
