variant,instructions,delta_from_parent,percent_from_parent,mgu_queue_exclusive,aggregate_delta,aggregate_percent,rust_alloc_calls,c_rust_ratio,native_executable_bytes
parent,10658676694,0,0.000000,89977360,0,0.000000,6457944,2.028539,8633344
inline_mgu_job_deque,10644647204,-14029490,-0.131625,97184034,7206674,8.009430,6312342,2.025869,8645632
