variant,instructions,delta_from_parent,percent_from_parent,search_init_instructions,init_delta,init_percent,c_rust_ratio,native_executable_bytes
parent,10875198328,0,0.000000,74573815,0,0.000000,2.069747,8632320
remove_pdt_init_occurrence_clear,10867147423,-8050905,-0.074030,66677764,-7896051,-10.588235,2.068215,8632320
