"problem","Vampire 5.0.1","Vampire 5.0","E 3.5.1","CSI_PP 1.0","iProver 3.9.4","Zipperpin 2.1.9999","LisaST 0.9","Drodi 4.1.1","Prover9 2026‑6A","Prover9 1109a","FindProof 0.1","mrs 0.2.0","SUPr 1.0","ConnectPP 0.7.2","SATResetCoP 1.0","VIP 1.718","SPASS‑SCL 0.1.1"
"SEV637+1*","+3.72","+1.23","+0.87","+1.27","+4.66","+6.59","+19.90","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","GUP"
"GEO282+1","+1.62","+0.78","+0.54","+1.30","+10.38","+25.09","+6.08","+33.06","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SET733+4","+1.30","+0.54","+0.63","+0.69","+1.16","UNK","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","TMO","GUP"
"GEO494+1","+2.62","+0.99","+0.88","+1.38","+21.42","+9.82","+8.37","+33.25","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"NUM335+1","+1.42","+0.58","+0.46","+0.46","+2.36","UNK","+11.50","+0.59","UNK","+112.03","TMO","UNK","+1.28","+133.45","UNK","TMO","GUP"
"SWV487+3","+1.59","+0.43","+80.28","+47.79","+1.24","+1.36","+115.04","+0.58","+25.62","TMO","TMO","+7.78","UNK","+121.57","UNK","TMO","GUP"
"ITP023+2","+1.29","+0.50","+0.79","+2.34","+1.16","UNK","+6.18","+0.74","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SWW298+1","+1.97","+0.98","+1.15","+1.14","+21.41","+2.55","+22.48","+0.83","+20.73","TMO","TMO","UNK","+15.28","+48.47","UNK","+20.01","GUP"
"GEO298+1","+1.57","+1.46","+1.45","+2.30","+19.73","UNK","TMO","+0.63","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"NUM860+1","+4.91","+2.10","+3.93","+3.99","+10.81","UNK","+68.43","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SWB047+1","+1.56","+0.65","+3.48","+4.77","+49.98","+3.51","+14.89","+6.25","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SWB040+1","+1.75","+0.71","+3.68","+2.30","+48.33","+1.08","+19.97","+3.55","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"ITP013+1","+2.39","+0.58","+0.63","+0.51","+1.40","+3.36","TMO","+0.56","+1.46","+0.94","+21.37","+12.61","UNK","TMO","UNK","TMO","GUP"
"SET716+4","+2.19","+0.45","+20.04","+0.52","+4.77","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"NUM859+1","+4.43","+1.59","+1.56","+0.93","+7.03","+32.37","TMO","+2.61","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"GEO523+1","+3.02","+0.71","+0.50","+0.56","+1.59","+6.57","+34.17","+5.34","+3.33","TMO","TMO","+90.57","UNK","TMO","UNK","TMO","GUP"
"SWX197+1*","+4.19","+0.53","+10.84","+11.78","TMO","UNK","TMO","+11.61","UNK","UNK","+22.41","TMO","UNK","TMO","UNK","TMO","GUP"
"GRP654+1","+37.86","TMO","TMO","TMO","TMO","UNK","TMO","TMO","+14.41","TMO","+5.64","TMO","UNK","TMO","UNK","GUP","GUP"
"SWX223+1*","+2.08","+0.66","+0.95","+0.76","+2.68","+1.27","+3.20","+0.39","+37.37","+24.29","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SEV646+1*","+1.63","+0.91","+0.85","+0.97","+3.36","+108.78","+13.83","TMO","UNK","TMO","TMO","TMO","+54.43","TMO","UNK","TMO","GUP"
"SWX224+1*","+1.43","+0.63","+1.82","+4.02","+1.14","+1.40","+2.59","+0.45","+0.50","+39.68","+12.15","+31.57","UNK","TMO","UNK","TMO","GUP"
"SEV677+1*","+1.76","+0.80","+0.79","+0.98","+2.24","+4.15","+8.72","TMO","UNK","TMO","TMO","TMO","UNK","TMO","UNK","UNK","GUP"
"SWB032+1","+2.06","+0.55","+0.48","+0.47","+3.03","+1.10","+6.66","+16.70","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SWV234+2","+3.52","+1.49","+0.49","+0.52","+54.94","+2.44","+6.80","+0.83","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SET964+1","+1.27","+0.46","+0.56","+0.51","+1.17","+1.86","+1.98","+0.45","+22.33","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"COM139+1","+2.61","+1.38","+0.65","+0.68","+147.44","+88.66","TMO","+58.24","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SWB023+1","+1.32","+0.63","+0.61","+0.61","+3.76","+0.92","+7.84","+4.05","TMO","TMO","+11.38","UNK","UNK","TMO","UNK","TMO","GUP"
"GRA008+1","+2.30","+8.07","+0.49","+0.57","+1.84","+3.87","TMO","+1.89","+100.95","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"CSR038+4","+2.70","+2.67","+1.10","+1.69","+3.34","+32.47","+17.39","+18.70","+0.87","TMO","TMO","UNK","+46.21","TMO","UNK","TMO","GUP"
"GEO093+1","+1.60","+0.55","+0.66","+1.20","+3.97","UNK","+6.18","+0.53","TMO","TMO","TMO","UNK","UNK","+57.43","UNK","TMO","GUP"
"SWX219+1*","+1.68","+0.54","+6.99","+8.78","+1.91","+26.94","+4.42","+1.04","+48.13","+21.21","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SEV629+1*","+2.43","+0.79","+0.63","+0.72","+0.96","+2.33","+8.39","+131.07","UNK","TMO","TMO","TMO","+24.88","TMO","UNK","TMO","GUP"
"SWW278+1","+2.20","+4.20","+1.71","+1.43","TMO","+21.02","TMO","+0.67","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"CSR005+2","+3.00","+0.63","+3.46","+4.28","+39.81","+6.13","+26.75","TMO","UNK","+140.39","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"GEO285+1","+0.81","+0.74","+0.50","+1.05","+18.48","+8.75","+10.58","+34.78","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"GEO306+1","+1.71","+0.57","+0.94","+1.02","+7.85","+4.02","TMO","+3.82","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"SCT155+1","+1.34","+0.41","+0.45","+0.53","+1.16","+21.32","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"SEV569+1","+3.09","+1.90","TMO","TMO","+15.88","UNK","+6.60","+14.23","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SCT123+1","+2.22","+1.18","TMO","TMO","TMO","+6.62","+26.36","+8.38","TMO","+60.43","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"NUM321+1","+0.86","+0.59","+6.37","+0.80","+2.99","+4.24","+3.29","+2.97","UNK","+57.89","TMO","UNK","+0.83","TMO","UNK","TMO","GUP"
"COM008+2","+3.16","+2.59","+0.59","+0.53","+5.21","UNK","TMO","+1.42","+28.07","+9.45","GUP","TMO","GUP","TMO","UNK","TMO","GUP"
"SWW350+1","+3.14","+0.90","+1.03","+1.11","+45.11","+2.57","+18.08","+3.60","+2.68","TMO","TMO","TMO","TMO","TMO","UNK","TMO","GUP"
"SWB046+1","+2.20","+0.61","+4.46","+5.50","+51.60","+1.02","+8.45","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"MGT035+2","+2.76","+0.92","+7.21","+16.96","+2.94","+87.35","TMO","TMO","UNK","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"KLE169+1","+2.99","+0.99","+114.02","+114.62","+11.13","UNK","+42.51","TMO","+18.10","TMO","TMO","UNK","TMO","TMO","UNK","TMO","GUP"
"KLE100+1","+1.94","+2.71","+0.68","+0.73","+3.38","+19.31","TMO","+33.76","+53.35","+28.99","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"GEO089+1","+1.64","+1.49","+26.55","+4.10","+16.13","UNK","TMO","TMO","TMO","TMO","TMO","UNK","+79.77","TMO","UNK","TMO","GUP"
"SWX221+1*","+1.53","+1.22","+0.88","+1.04","+3.34","+2.94","+4.74","+0.54","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SEV679+1*","+1.49","+1.31","TMO","TMO","+6.81","+4.46","+6.15","+2.98","UNK","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"SEV656+1*","+6.53","+82.74","+15.28","+6.11","136.37","+60.58","TMO","+21.65","UNK","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"CSR066+5","+34.70","+25.17","+34.70","+11.49","+35.01","TMO","+78.30","+164.76","+12.54","TMO","TMO","TMO","TMO","TMO","UNK","UNK","GUP"
"TOP029+1","+1.95","+16.09","+2.36","+2.24","+27.81","UNK","+40.83","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
