"problem","Vampire 5.0.1","Vampire 5.0","E 3.5.1","CSI_PP 1.0","iProver 3.9.4","Zipperpin 2.1.9999","LisaST 0.9","Drodi 4.1.1","Prover9 2026‑6A","Prover9 1109a","FindProof 0.1","mrs 0.2.0","SUPr 1.0","ConnectPP 0.7.2","SATResetCoP 1.0","VIP 1.718","SPASS‑SCL 0.1.1"
"SEV636+1*","+8.38","+6.82","TMO","TMO","TMO","+135.87","GUP","TMO","UNK","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"SEV630+1*","+2.48","+3.97","TMO","TMO","+170.48","UNK","TMO","TMO","UNK","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SEV640+1*","+2.93","+1.14","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"SWB095+1","+1.59","+2.54","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"ITP002+2","+3.25","+9.36","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SWB042+1","+2.04","+1.16","TMO","TMO","+65.79","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"LAT305+3","+3.67","+4.37","TMO","TMO","TMO","TMO","TMO","TMO","+168.21","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"LAT351+3","+4.08","+32.76","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"SWB020+1","+2.72","+1.78","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SWB090+1","+1.76","+2.66","TMO","TMO","TMO","UNK","TMO","+96.51","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SEV627+1*","+1.63","+1.36","+94.79","+77.83","+79.46","UNK","+173.88","TMO","UNK","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SEV625+1*","+4.39","+1.22","+96.70","+39.99","TMO","UNK","+16.11","TMO","UNK","TMO","GUP","TMO","UNK","TMO","UNK","TMO","GUP"
"SEV658+1*","+24.18","+18.87","TMO","TMO","TMO","UNK","TMO","TMO","UNK","TMO","TMO","TMO","UNK","TMO","TMO","TMO","GUP"
"SEV645+1*","+160.28","+17.52","+0.75","+0.94","+22.93","UNK","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"SEV657+1*","+14.69","+1.72","TMO","TMO","+109.33","UNK","+85.77","TMO","UNK","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"SWV234+1","+3.51","+65.01","+71.60","+47.84","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"GEO491+1","+10.90","+29.71","TMO","TMO","+52.31","UNK","+161.22","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SWW279+1","+55.02","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"GEO310+1","+5.25","TMO","+60.33","+74.84","TMO","UNK","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"SWB099+1","+1.62","+2.23","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"CSR036+5","+79.46","+68.81","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","UNK","GUP"
"BIO006+1","+24.79","+13.41","TMO","TMO","TMO","UNK","GUP","+50.54","GUP","UNK","TMO","TMO","TMO","TMO","UNK","UNK","UNK"
"GEO517+1","+1.94","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"ITP012+4","+7.16","+6.94","+16.60","+58.29","TMO","TMO","+60.50","+49.32","TMO","UNK","TMO","+13.02","TMO","TMO","UNK","TMO","GUP"
"GEO330+1","+3.61","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"SCT124+1","+34.41","TMO","+51.06","+37.36","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"HWV051+1","+47.07","+10.44","TMO","TMO","+138.19","UNK","TMO","TMO","TMO","TMO","GUP","TMO","UNK","TMO","UNK","TMO","GUP"
"ITP006+4","+5.16","+7.83","TMO","TMO","+145.99","TMO","+14.15","TMO","TMO","UNK","TMO","+3.41","TMO","TMO","UNK","TMO","GUP"
"GEO520+1","+40.55","+39.63","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SWB091+1","+2.84","+0.61","TMO","TMO","TMO","+97.16","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"NUM669+4","+2.60","+13.26","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"LAT303+4","+5.91","+4.55","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"SET817+4","+23.81","+4.55","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SWB103+1","+3.46","+3.83","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"LCL891+1","+10.48","+139.28","+81.32","+50.15","TMO","UNK","TMO","TMO","TMO","UNK","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SWX189+1*","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"REL040+2","+2.23","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"SEV675+1*","TMO","+21.93","TMO","TMO","TMO","UNK","TMO","TMO","UNK","TMO","TMO","TMO","UNK","TMO","UNK","UNK","GUP"
"SEV671+1*","+7.38","+8.99","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SEV651+1*","+179.21","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","TMO","TMO","TMO","UNK","TMO","TMO","TMO","GUP"
"SEV650+1*","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"SEV622+1*","+49.54","+2.04","TMO","TMO","TMO","UNK","TMO","TMO","UNK","TMO","GUP","TMO","UNK","TMO","TMO","TMO","GUP"
"NUM658+4","+2.01","+7.27","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SCT170+3","+4.26","+56.64","TMO","TMO","TMO","UNK","+30.73","TMO","TMO","UNK","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"NUM671+4","+3.32","+3.98","TMO","TMO","TMO","UNK","TMO","+32.17","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"NUM789+4","+5.32","+9.50","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"NUM785+4","+3.25","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"GEO328+1","+10.02","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"SEV522+1","+4.27","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SCT125+1","+28.97","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"ITP018+5","+8.97","+5.09","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","UNK","GUP"
"GEO323+1","+5.38","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"ITP009+2","+2.87","+0.74","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"NUM695+4","+6.45","+147.11","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"CSR208+1","+26.07","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","UNK","GUP"
"NUM656+4","+3.25","+11.62","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"TOP020+1","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"NUM657+4","+3.19","+2.70","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"NUM653+4","+2.14","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SEV618+1*","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"SWX201+1*","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"SEV620+1*","+47.83","+84.30","TMO","TMO","TMO","UNK","TMO","TMO","UNK","TMO","TMO","TMO","UNK","TMO","TMO","TMO","GUP"
"SEV626+1*","TMO","+27.19","TMO","TMO","TMO","UNK","TMO","TMO","UNK","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"SWX211+1*","+129.81","+4.34","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"SEV676+1*","+137.10","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","TMO","TMO","UNK","UNK","TMO","UNK","UNK","GUP"
"SWX202+1*","TMO","+80.73","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"SEV654+1*","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"NUM757+4","+7.37","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"NUM796+4","+13.42","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"NUM747+4","+21.50","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"NUM664+4","+10.25","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"GEO351+1","+53.30","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"NUM698+4","+12.28","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"GEO480+1","+21.27","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","TMO","GUP"
"NUM691+4","+18.17","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"GEO501+1","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"NUM787+4","+3.18","+7.59","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SEU440+4","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"GEO095+1","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"NUM647+4","+4.21","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"GEO349+1","+95.15","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"NUM707+4","+19.93","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"NUM786+4","+6.04","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"GRP652+2","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"NUM709+4","+6.84","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"NUM689+4","+4.48","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"NUM743+4","+17.57","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"TOP046+3","+143.12","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"GEO138+1","+3.80","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"NUM795+4","+14.94","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"NUM783+4","+111.80","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"NUM690+4","+9.44","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"NUM750+4","+5.68","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"NUM663+4","+4.42","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
