"problem","Vampire 5.0.1","Vampire 5.0","Twee 2.7","FindProof 0.1","CSI_PP 1.0","E 3.5.1","Prover9 2026‑6A","iProver 3.9.4","Drodi 4.1.1","mrs 0.2.0"
"GRP719‑1","+4.04","TMO","+30.64","+92.69","TMO","TMO","TMO","TMO","TMO","TMO"
"LCL148‑10","+9.69","+36.79","+129.20","+121.97","TMO","TMO","+162.87","TMO","TMO","UNK"
"RNG029‑7","TMO","TMO","TMO","TMO","TMO","TMO","+11.52","TMO","TMO","UNK"
"LCL390‑10","+3.61","+130.99","+41.92","TMO","+72.90","+77.04","UNK","TMO","TMO","TMO"
"RNG006‑10","+8.71","+9.67","TMO","+6.05","+41.99","+52.00","TMO","+6.30","+11.03","+33.94"
"GRP706‑1","TMO","TMO","TMO","TMO","+15.75","+12.98","TMO","TMO","TMO","UNK"
"LAT172‑1","+11.77","+56.64","+80.41","TMO","TMO","TMO","TMO","TMO","TMO","UNK"
"REL017‑1","+2.69","+8.64","+4.00","+8.00","+172.72","+41.53","+64.58","TMO","TMO","UNK"
"RNG028‑7","+65.82","TMO","TMO","TMO","TMO","TMO","+16.14","TMO","TMO","TMO"
"LCL060‑10","+3.30","TMO","TMO","+29.02","+68.33","+42.89","+23.52","TMO","TMO","UNK"
"RNG027‑9","TMO","+14.31","TMO","TMO","TMO","TMO","+14.65","TMO","TMO","TMO"
"RNG028‑5","+62.18","TMO","TMO","TMO","TMO","TMO","+28.18","TMO","TMO","TMO"
"RNG027‑8","+134.68","+5.25","TMO","TMO","TMO","TMO","+29.22","TMO","TMO","TMO"
"RNG029‑6","+12.05","TMO","TMO","TMO","TMO","TMO","+12.50","TMO","TMO","UNK"
"REL041‑1","+2.18","+37.87","+8.47","+28.97","+75.48","+78.73","TMO","TMO","TMO","UNK"
"GRP666‑5","+89.73","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK"
"LCL038‑10","+47.54","TMO","+169.07","+47.70","TMO","TMO","TMO","TMO","TMO","UNK"
"RNG027‑5","+22.77","+2.12","TMO","TMO","TMO","TMO","+13.35","TMO","TMO","TMO"
"LAT400‑4","TMO","+72.75","+51.09","TMO","+17.94","+17.13","TMO","TMO","TMO","UNK"
"PLA007‑10","+3.13","+12.02","TMO","+3.45","TMO","TMO","TMO","TMO","TMO","UNK"
"GRP666‑3","TMO","TMO","TMO","TMO","TMO","+82.50","TMO","TMO","TMO","UNK"
"ALG441‑10","+6.94","+32.33","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO"
"KLE122‑10","+89.03","TMO","TMO","+77.97","TMO","TMO","TMO","TMO","TMO","TMO"
"RNG028‑8","TMO","TMO","TMO","TMO","TMO","TMO","+29.14","TMO","TMO","TMO"
"LCL306‑10","+3.48","+9.39","TMO","TMO","TMO","TMO","TMO","+43.73","TMO","UNK"
"RNG027‑7","+21.71","+3.90","TMO","TMO","TMO","TMO","+13.22","TMO","TMO","UNK"
"GRP666‑4","+79.71","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK"
"SWX214‑1*","+19.79","+5.16","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK"
"SWX210‑1*","+43.40","+129.51","TMO","TMO","TMO","TMO","+40.19","TMO","TMO","UNK"
"LCL331‑10","+5.86","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO"
"LCL289‑10","+3.71","+45.16","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK"
"ROB006‑2","+96.31","+36.11","+163.30","TMO","TMO","TMO","+84.73","+68.53","TMO","TMO"
"LCL348‑10","+4.48","+22.81","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK"
"LCL245‑10","+3.50","+36.21","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK"
"LAT076‑1","+9.01","+7.65","+40.93","+22.11","TMO","TMO","TMO","TMO","TMO","TMO"
"CSR040‑10","+25.41","+15.32","TMO","TMO","+116.45","TMO","TMO","TMO","TMO","UNK"
"CSR049‑10","+11.21","+10.89","TMO","+44.59","TMO","TMO","TMO","TMO","TMO","UNK"
"LAT206‑10","+6.13","+165.96","+55.91","+47.82","TMO","TMO","TMO","TMO","TMO","UNK"
"CSR036‑10","+11.86","+7.61","TMO","TMO","TMO","TMO","GUP","TMO","TMO","UNK"
"GRP692‑1","+121.82","TMO","+147.07","TMO","+82.95","TMO","TMO","TMO","TMO","TMO"
"RNG027‑10","+17.40","+3.50","TMO","TMO","TMO","TMO","+17.04","TMO","TMO","TMO"
"BOO014‑10","+3.66","+57.63","+70.15","TMO","+38.73","+50.03","+69.11","TMO","TMO","UNK"
"REL016‑1","+3.93","+10.10","+3.98","+12.25","+172.00","+40.96","TMO","TMO","TMO","UNK"
"MVA003‑1","+9.31","TMO","+110.48","+88.57","TMO","TMO","TMO","TMO","TMO","UNK"
"REL038‑1","+3.09","+73.83","+27.13","+26.02","TMO","TMO","TMO","TMO","TMO","TMO"
"LCL339‑10","+8.62","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO"
"CSR065‑10","+2.77","+8.07","TMO","TMO","TMO","TMO","GUP","TMO","+85.54","UNK"
"ROB018‑10","+6.33","+26.65","+114.26","TMO","TMO","TMO","TMO","+90.07","TMO","TMO"
"REL017‑3","+3.64","+11.59","+6.03","+27.14","+126.57","+34.22","TMO","TMO","TMO","UNK"
"LCL330‑10","+3.38","+19.72","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK"
"LAT161‑1","+39.51","+84.24","TMO","TMO","TMO","TMO","TMO","+88.41","TMO","TMO"
"COL043‑1","+2.64","+74.33","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK"
"LAT141‑1","+12.58","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO"
"REL040‑1","+5.77","TMO","+59.15","TMO","TMO","TMO","TMO","TMO","TMO","TMO"
"LCL220‑10","+3.81","+19.47","TMO","TMO","TMO","TMO","TMO","TMO","+81.49","UNK"
"LAT400‑3","+110.50","+57.23","TMO","TMO","+11.39","+24.60","+23.23","TMO","TMO","UNK"
"NUN135‑1.028*","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK"
"ARI764‑3*","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK"
"LAT176‑1","TMO","+145.12","TMO","+30.35","TMO","TMO","TMO","TMO","TMO","TMO"
"REL039‑1","+75.75","+107.83","+127.78","TMO","TMO","TMO","TMO","TMO","UNK","TMO"
"LCL282‑10","+8.95","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK"
"PLA014‑10","+5.34","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK"
"LAT079‑1","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO"
"ROB006‑1","TMO","TMO","TMO","TMO","TMO","TMO","+120.12","TMO","TMO","TMO"
"LAT139‑1","+10.64","TMO","TMO","+91.67","TMO","TMO","TMO","TMO","TMO","TMO"
"LAT065‑10","+7.20","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK"
"ROB035‑1","TMO","+92.70","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK"
"GRP164‑2","TMO","TMO","TMO","TMO","+162.93","TMO","TMO","TMO","TMO","UNK"
