"problem","Vampire 5.0.1","Vampire 5.0","Twee 2.7","FindProof 0.1","CSI_PP 1.0","E 3.5.1","Prover9 2026‑6A","iProver 3.9.4","Drodi 4.1.1","mrs 0.2.0"
"LAT241‑10","+2.15","+16.02","+1.42","+4.22","+0.62","+0.65","+25.08","+64.36","TMO","UNK"
"REL027‑3","+2.30","+4.04","+1.84","+4.01","+0.83","+0.81","+1.42","+137.78","TMO","UNK"
"REL026‑1","+2.61","+18.79","+2.58","+11.32","+1.13","+1.88","+1.90","+85.50","TMO","UNK"
"GRP681‑1","+3.70","+1.30","+1.86","+7.52","+1.46","+8.50","+102.98","+12.08","TMO","UNK"
"LAT168‑1","+2.46","+0.96","+4.00","+3.08","+11.94","+2.37","+11.63","+1.65","+0.73","TMO"
"COL044‑7","+2.00","+1.11","+1.09","+1.34","+0.52","+21.33","+0.77","+4.94","+0.79","UNK"
"LAT389‑1","+2.58","+1.82","+4.55","+80.16","+0.66","+0.93","GUP","+149.33","TMO","+82.86"
"GRP667‑2","+6.94","+13.58","+20.32","+154.50","+3.45","+3.53","UNK","TMO","TMO","TMO"
"LAT390‑1","+3.18","+2.32","+9.53","+64.59","+0.64","+0.47","GUP","TMO","TMO","+18.17"
"GRP697‑1","+3.50","+0.47","+0.54","+1.41","+2.95","+1.93","+0.56","+2.35","+0.52","+34.08"
"GRP751‑1","+8.96","+1.69","+5.78","+7.83","+0.56","+0.85","+78.51","TMO","+85.54","+45.72"
"RNG025‑6","+1.74","+3.39","+7.77","+33.38","+0.96","+2.44","+1.80","TMO","TMO","TMO"
"GRP667‑10","+2.72","+26.07","+15.37","TMO","+9.63","+15.20","+4.18","TMO","TMO","TMO"
"COL006‑7","+2.24","+1.07","+0.82","+1.28","+39.56","+28.85","+0.38","+24.57","+30.68","TMO"
"PLA017‑10","+2.81","+0.43","TMO","+1.66","+0.59","+0.59","+1.13","+1.95","+0.40","+20.59"
"LAT082‑1","+3.16","+0.94","+3.05","TMO","+1.42","+1.94","GUP","TMO","TMO","TMO"
"COL006‑5","+1.73","+1.07","+0.99","+7.84","+49.80","+35.22","+0.55","+25.92","+3.49","TMO"
"LCL113‑10","+2.00","+37.30","+81.52","+13.68","+47.40","+14.61","+108.52","TMO","+100.24","TMO"
"ALG240‑1","+2.11","+1.85","+173.43","+2.05","+3.29","+3.28","+0.62","+1.84","+1.01","TMO"
"REL044‑2","+3.11","+1.76","+3.42","+7.18","+0.87","+0.76","+3.78","+79.27","+3.00","UNK"
"COL009‑1","+2.06","+0.96","+4.97","+3.78","+84.65","+2.97","+0.41","+1.95","+0.34","TMO"
"GRP655‑12","+26.33","+6.94","+1.91","+4.39","+2.63","+2.26","UNK","+47.97","+126.95","TMO"
"REL028‑1","+3.51","+7.49","+1.55","+7.95","+2.33","+2.83","+1.84","TMO","TMO","UNK"
"LCL024‑10","+3.67","+66.61","+7.49","+8.36","+25.99","+26.09","+97.68","TMO","TMO","TMO"
"LAT020‑1","+3.61","+8.49","+9.59","+7.22","+7.68","+23.15","+2.43","+102.47","TMO","TMO"
"GRP670‑1","+13.07","+10.00","+4.10","+25.69","+27.56","+106.59","TMO","TMO","TMO","TMO"
"LCL050‑10","+2.44","+9.44","+12.03","+19.82","+0.96","+1.71","+2.69","TMO","+8.03","+8.54"
"ROB015‑10","+4.68","+7.69","+6.02","TMO","+6.82","+6.21","+14.02","TMO","TMO","+63.49"
"GRP002‑10","+2.91","+6.14","+6.04","+34.79","+1.13","+1.02","+72.39","+78.69","+5.09","UNK"
"COL004‑1","+1.60","+0.63","+18.69","+1.54","+1.07","+1.23","+0.74","+2.45","+0.61","TMO"
"KLE147‑10","+8.14","+10.01","+14.99","+43.03","+6.44","+7.00","+2.26","TMO","+20.59","UNK"
"LAT084‑1","+1.69","+0.73","+2.72","+177.09","+1.23","+1.40","GUP","+64.40","TMO","TMO"
"LAT085‑1","+2.67","+0.93","+4.43","+149.76","+1.63","+1.66","GUP","TMO","TMO","TMO"
"REL042‑1","+3.20","+4.30","+4.23","+14.74","+5.28","+1.29","+1.38","+64.97","TMO","TMO"
"GRP655‑11","+11.46","+8.57","+1.31","+5.76","+3.99","+3.22","+47.90","+51.34","+77.11","TMO"
"GRP178‑1","+1.86","+2.33","+0.66","+11.60","TMO","+78.91","+110.39","+6.77","UNK","+30.37"
"RNG025‑7","+0.86","+3.03","+14.09","+16.74","+2.76","+2.79","+4.54","TMO","TMO","UNK"
"GRP770‑1","+31.57","+6.06","+25.56","+110.05","+7.83","+53.30","TMO","+63.56","TMO","TMO"
"GRP667‑4","+5.41","+23.28","+15.00","+134.21","+3.73","+5.30","+72.25","TMO","TMO","TMO"
"GRP655‑14","+3.10","+6.87","+2.03","+5.31","+9.81","+6.28","+134.92","+34.24","+98.02","TMO"
"GRP180‑1","+4.26","TMO","+1.65","+7.67","+5.16","+9.09","+4.03","+86.01","TMO","UNK"
"KLE104‑10","+3.22","+6.42","+53.24","+17.26","+23.67","+29.19","+24.71","+66.39","TMO","UNK"
"LAT152‑1","+3.20","+1.11","+43.32","+5.07","TMO","TMO","+1.15","+20.53","+10.05","UNK"
"GRP654‑12","+10.86","+12.92","+1.83","+4.06","+8.26","+6.34","+12.42","+24.12","+37.57","TMO"
"LCL265‑10","+1.68","+2.09","+5.99","+57.01","+48.02","+9.40","+9.24","+26.08","+141.50","TMO"
"COL044‑9","+4.85","+1.36","+4.76","+1.03","+1.10","+20.94","+1.10","+3.30","+6.32","TMO"
"GRP507‑1","+34.90","+111.82","+1.77","+18.19","+13.31","+23.11","UNK","+85.36","TMO","TMO"
"BOO017‑10","+1.95","+0.76","+3.91","+57.66","+4.25","+4.11","TMO","+3.37","+1.54","+51.97"
"GRP654‑11","+7.11","+3.50","+1.37","+2.95","+4.94","+11.70","+5.83","+33.59","+62.28","TMO"
"REL019‑1","+1.42","+1.92","+1.40","+2.84","+6.46","+7.77","UNK","+2.03","+99.69","TMO"
"GRP766‑1","+2.68","+2.13","+16.84","+107.50","+2.56","+1.65","TMO","+11.93","+130.52","+45.70"
"COL002‑5","+1.53","+0.61","+150.25","+1.58","+129.36","+80.15","+0.40","+1.78","+69.45","+0.38"
"GRP765‑1","+10.92","+82.10","+23.24","TMO","+6.66","+9.84","TMO","TMO","TMO","UNK"
"COL046‑1","+5.45","+29.16","+19.19","TMO","+1.35","+3.57","+1.46","TMO","+7.14","TMO"
"GRP508‑1","+13.71","+32.18","+0.89","+3.33","+9.48","+8.31","+7.46","+27.71","+105.21","TMO"
"COL006‑1","+2.94","TMO","+2.69","+41.69","+7.46","+4.64","+1.23","TMO","+3.93","TMO"
"COL043‑3","+1.89","+12.89","+34.27","+1.58","+0.61","+20.22","+0.56","+8.55","+67.72","TMO"
"GRP727‑1","+4.30","+3.59","+0.78","+4.87","+20.40","+42.06","+6.82","+29.30","+1.36","TMO"
"COL044‑8","+4.87","+1.50","+5.35","+1.57","+1.69","+21.10","+1.41","+3.80","+6.56","TMO"
"LCL897‑10","+2.99","+1.08","+0.45","+0.94","+29.20","+126.66","+0.45","+1.55","+0.50","UNK"
"GRP655‑13","+17.27","+5.73","+0.93","+11.15","+4.57","+7.75","UNK","+34.15","+150.52","TMO"
"GRP769‑1","+8.16","+18.25","+18.44","+56.70","+41.79","+62.00","TMO","TMO","TMO","TMO"
"LAT156‑1","+1.88","+0.72","+19.89","+20.92","+61.96","+4.65","+3.57","+7.78","+14.96","TMO"
"COL011‑1","+2.07","+2.47","+7.04","+9.08","+44.30","+45.40","+0.36","TMO","+0.58","TMO"
"TOP052‑1","+50.29","+16.39","TMO","TMO","+3.72","+7.73","TMO","+75.89","+128.87","UNK"
"CSR038‑10","+4.36","+0.49","TMO","+2.76","+2.45","+1.53","TMO","+94.72","+1.22","UNK"
"LAT154‑1","+1.96","+0.67","+4.45","+3.22","TMO","TMO","+0.75","+8.03","+12.07","TMO"
"GRP505‑1","+13.31","+31.30","+0.61","+9.61","+102.27","+10.66","+7.12","+55.71","TMO","TMO"
"REL029‑3","+4.41","+12.93","+7.35","+14.82","+4.81","+42.84","+3.36","TMO","TMO","TMO"
"COL006‑6","+1.72","+1.74","+0.53","+1.35","UNK","TMO","+0.42","+3.13","+11.42","+0.51"
"LAT171‑1","+2.12","+0.97","+1.90","+4.11","TMO","+161.95","+17.76","+37.50","+1.22","TMO"
"GRP024‑5","+29.03","+7.94","+18.13","+6.96","+8.04","+97.53","+35.04","TMO","TMO","UNK"
"LAT399‑1","+5.18","+2.77","+26.69","+9.32","+80.38","+55.78","+4.83","+28.10","TMO","UNK"
"CSR034‑10","+1.75","+1.06","+91.76","+42.87","+0.85","+0.59","+0.52","+36.13","+2.41","+0.59"
"LAT164‑1","+3.82","+3.57","+3.94","+2.56","+48.82","+46.04","+42.23","TMO","TMO","UNK"
"LAT399‑2","+2.21","+5.07","+6.82","+11.69","+85.69","+77.74","+2.55","+26.85","TMO","UNK"
"REL029‑10","+3.54","+4.67","+6.34","+23.60","+3.20","+22.47","+62.35","TMO","TMO","UNK"
"LAT142‑1","+4.08","+0.73","+12.12","TMO","TMO","TMO","+2.56","+52.22","+136.84","TMO"
"SYN598‑10","+1.09","+1.00","+0.88","+1.45","TMO","TMO","+13.45","+2.19","UNK","UNK"
"PUZ164‑1*","+25.79","+1.19","+2.00","TMO","TMO","TMO","TMO","+3.40","+90.99","UNK"
"RNG131‑1*","+11.51","+0.54","TMO","TMO","+57.97","+71.34","+0.41","TMO","TMO","UNK"
"LAT166‑1","+6.31","TMO","+52.91","TMO","TMO","TMO","TMO","TMO","TMO","TMO"
"GRP689‑1","+10.67","+10.23","+14.93","TMO","+4.14","+7.19","+171.25","+30.77","TMO","TMO"
"REL020‑2","+3.49","+19.43","+4.17","+13.47","+26.01","+48.64","TMO","+161.29","TMO","UNK"
"RNG001‑10","+2.44","+0.71","+9.32","+4.89","+12.75","+4.66","+4.62","+3.99","+3.55","+9.53"
"REL030‑3","+1.45","+9.31","+3.83","+19.58","+92.13","+10.65","+7.46","TMO","TMO","TMO"
"LAT157‑1","+3.05","+5.07","+66.48","+39.21","TMO","TMO","TMO","+113.03","+164.27","UNK"
"CSR039‑10","+6.97","+10.32","TMO","+20.57","+1.34","+1.70","TMO","+168.19","+52.17","UNK"
"REL010‑1","+2.27","+17.81","+0.95","+6.30","+72.68","+6.38","+15.83","TMO","TMO","UNK"
"ALG246‑1","+30.04","+15.60","+11.78","+50.79","+9.57","+24.05","+119.49","+154.37","TMO","UNK"
"LAT170‑1","+3.70","+0.75","+12.86","+8.55","TMO","TMO","TMO","+22.73","+13.51","UNK"
"LCL250‑10","+3.24","+17.75","+133.49","+12.92","+59.84","+56.53","+4.83","+40.77","TMO","TMO"
"LAT153‑1","+2.12","+2.08","+17.75","+21.63","TMO","TMO","+23.76","+34.71","+29.61","TMO"
"REL029‑1","+2.53","+135.63","+15.51","+21.90","+2.80","+42.42","+4.11","TMO","TMO","UNK"
"REL034‑1","+2.66","+4.29","+7.38","+4.54","+130.72","+85.12","TMO","+34.76","+147.03","TMO"
"GRP691‑1","+15.06","+25.67","+25.64","TMO","+6.99","+6.92","TMO","TMO","TMO","TMO"
"LAT138‑1","+3.36","+0.74","+24.08","TMO","TMO","TMO","UNK","TMO","+11.69","TMO"
"LAT160‑1","+9.98","+25.65","+7.94","+8.31","+39.61","+51.85","+2.05","TMO","TMO","UNK"
"KLE169‑10","+3.29","+0.57","+0.64","+3.44","TMO","TMO","TMO","+2.73","+1.66","UNK"
"GRP181‑2","+30.05","+33.75","+30.36","+11.50","+21.53","+20.40","+8.41","+65.69","TMO","UNK"
"REL035‑1","+3.12","+2.26","+3.27","+7.77","+108.42","+56.76","+62.89","+49.18","+58.62","UNK"
"COL003‑1","+1.73","TMO","TMO","+38.12","+2.01","+19.31","+3.81","TMO","+33.17","UNK"
"LAT155‑1","+4.20","+1.47","+25.31","+9.18","TMO","TMO","+55.96","+36.28","+13.83","TMO"
"PUZ164‑2*","+20.24","+0.68","+2.46","TMO","TMO","TMO","+88.10","+3.48","TMO","UNK"
"LAT163‑1","+4.04","+4.95","+2.36","+22.49","TMO","TMO","TMO","+47.81","+55.06","TMO"
"GRP720‑2","+27.22","+33.14","+9.12","TMO","+31.82","+29.58","+5.19","TMO","TMO","TMO"
"REL011‑1","+2.43","+64.76","+2.25","+5.84","+110.76","+33.97","TMO","TMO","TMO","UNK"
"GRP181‑1","+1.92","+60.36","+32.78","+6.74","+5.46","+25.46","+122.63","TMO","TMO","UNK"
"REL044‑1","+4.03","+11.32","+10.06","TMO","+20.12","+11.49","+136.53","+164.51","TMO","UNK"
"GRP654‑10","+120.29","TMO","+1.28","+7.06","+34.84","+36.57","+12.90","+59.50","TMO","TMO"
"NUN133‑1","+1.29","+0.48","+2.01","+11.48","+83.35","+0.42","+16.42","+94.93","TMO","TMO"
"KLE108‑10","+5.24","+3.87","TMO","+7.52","+39.44","+16.75","TMO","+14.06","TMO","UNK"
"SYN708‑10","+4.40","+8.10","TMO","+8.05","TMO","TMO","+1.00","+30.20","+97.93","UNK"
"REL030‑1","+2.85","+46.57","+4.69","+15.87","+89.71","+11.25","+7.49","TMO","TMO","UNK"
"REL021‑1","+2.37","+2.15","+2.41","+7.54","TMO","TMO","TMO","+110.86","+156.05","TMO"
"LAT146‑1","+4.37","+0.90","+36.59","+12.81","TMO","TMO","TMO","TMO","+29.40","UNK"
"COL003‑10","+2.77","+0.78","+0.45","+4.17","TMO","TMO","TMO","+7.73","+1.01","TMO"
"GRP177‑2","+5.02","+0.81","+9.80","+116.76","+1.73","+1.35","+18.56","+8.85","TMO","UNK"
"GRP187‑1","+29.48","+14.54","+12.80","+16.55","+16.89","+14.22","UNK","TMO","TMO","TMO"
"REL035‑2","+4.67","+10.35","+6.02","+7.34","TMO","TMO","TMO","+144.32","+64.67","UNK"
"CSR059‑10","+1.07","+1.32","+172.85","+52.12","+0.69","+0.80","+0.46","+103.07","+2.78","UNK"
"HEN010‑10","+3.18","+9.00","TMO","+1.96","+115.80","TMO","+5.56","+3.70","+0.74","+154.92"
"LAT222‑10","+4.23","+32.94","+120.97","+63.61","+10.82","+9.12","+105.60","+102.50","TMO","TMO"
"LAT018‑1","+1.86","+1.21","+0.62","+2.48","TMO","TMO","+67.08","+1.75","+0.69","UNK"
"GRP764‑1","+17.50","+63.44","+59.49","TMO","+8.21","+8.97","+79.99","TMO","TMO","UNK"
"SWX212‑1*","+61.81","TMO","TMO","TMO","+1.94","+1.86","+22.79","TMO","TMO","UNK"
"SWX201‑1*","TMO","TMO","TMO","TMO","+28.16","+27.42","+1.13","+19.09","TMO","UNK"
"RNG130‑1*","+6.74","+0.54","TMO","TMO","+19.72","+12.36","TMO","TMO","TMO","UNK"
"ARI765‑2*","TMO","TMO","TMO","TMO","TMO","TMO","TMO","+89.42","TMO","UNK"
"LCL231‑10","+2.29","+3.98","+21.60","+1.54","TMO","TMO","+5.69","+26.29","+47.31","UNK"
"GRP753‑1","+8.01","+10.11","+5.95","+9.76","+3.77","+16.44","+53.73","TMO","+78.99","UNK"
"REL043‑1","+4.62","+6.68","+12.94","+123.57","+17.19","+40.07","+173.42","+166.76","TMO","UNK"
"LAT169‑1","+4.01","+13.87","+26.54","TMO","+19.84","+22.66","+45.55","TMO","TMO","UNK"
"LAT070‑1","+1.93","+21.54","+5.01","+5.18","+129.41","TMO","TMO","+30.89","TMO","UNK"
"GRP655‑10","+7.74","TMO","+9.45","+21.98","+48.26","+25.51","UNK","+49.92","TMO","TMO"
"MVA011‑1","+3.41","TMO","+31.49","+16.24","+3.18","+91.69","TMO","TMO","TMO","+52.65"
"CSR068‑10","+6.02","+3.60","TMO","TMO","+2.46","+2.55","+0.87","TMO","+2.75","+2.60"
"REL033‑1","+5.50","+21.72","+16.82","+25.53","TMO","+68.24","TMO","TMO","TMO","TMO"
"REL034‑2","+3.58","+3.82","+3.71","+4.45","TMO","TMO","TMO","+128.11","+12.17","TMO"
"MVA009‑1","+4.22","+3.71","+11.93","+51.19","+11.24","+89.69","TMO","+44.35","TMO","TMO"
"CSR073‑10","+3.75","+2.86","TMO","TMO","+1.94","+2.28","+1.12","TMO","TMO","+2.49"
"LCL384‑10","+2.49","+13.12","+8.66","+22.81","TMO","TMO","TMO","TMO","+101.24","+110.09"
"LAT072‑1","+2.91","+14.23","+3.02","+9.53","TMO","TMO","TMO","+24.07","TMO","TMO"
"LAT393‑2","+2.66","+21.42","+8.76","+4.73","TMO","TMO","TMO","+38.12","TMO","TMO"
"LAT175‑1","+6.64","+2.37","+11.75","TMO","TMO","TMO","TMO","+58.33","+142.89","UNK"
"CSR057‑10","+3.44","+5.02","TMO","TMO","+2.52","+1.55","+1.06","TMO","TMO","UNK"
"LAT151‑1","+4.43","+24.54","+30.32","+12.21","TMO","TMO","TMO","TMO","+47.75","UNK"
"LAT140‑1","+68.56","TMO","+57.22","TMO","+14.72","+107.23","+43.76","TMO","TMO","TMO"
"LAT145‑1","+9.34","+7.94","+14.27","+19.85","TMO","TMO","+64.36","TMO","TMO","TMO"
"COL042‑1","+8.82","TMO","TMO","TMO","+0.76","+1.11","+11.39","TMO","TMO","TMO"
"LAT174‑1","+3.14","+4.27","+32.19","+179.70","+31.10","+30.82","TMO","TMO","TMO","TMO"
"ARI765‑1*","TMO","TMO","TMO","+5.79","TMO","TMO","TMO","TMO","TMO","UNK"
"SWX202‑1*","TMO","TMO","TMO","TMO","+18.74","+32.29","+0.75","TMO","TMO","UNK"
"COL044‑10","+1.75","+2.37","+2.53","+160.49","TMO","TMO","TMO","+179.44","+40.27","TMO"
"REL022‑2","+5.20","+6.04","+4.24","+8.72","+73.07","+114.05","TMO","TMO","TMO","TMO"
"REL016‑3","+3.58","+6.80","+2.60","+12.05","+36.77","+34.80","TMO","TMO","TMO","UNK"
"REL022‑1","+3.30","+28.01","+2.04","+8.10","TMO","TMO","TMO","TMO","TMO","TMO"
"REL037‑2","+1.41","+51.99","+2.18","+33.24","TMO","TMO","TMO","TMO","TMO","TMO"
"REL040‑10","+5.51","+35.78","+40.67","+97.36","TMO","TMO","+96.71","TMO","TMO","TMO"
"CSR044‑10","+2.22","+1.32","TMO","+74.47","+0.75","+1.25","+0.43","TMO","TMO","+8.36"
"BOO076‑1","+20.70","+56.48","+9.26","+17.77","+34.06","+74.35","TMO","TMO","TMO","UNK"
"COL002‑10","+2.61","+0.48","TMO","TMO","TMO","TMO","+17.81","TMO","+0.38","TMO"
"RNG025‑4","+11.88","+1.19","TMO","TMO","TMO","TMO","+10.43","TMO","TMO","TMO"
"KLE110‑10","+4.20","+9.35","+109.70","+3.96","TMO","TMO","TMO","+14.83","TMO","TMO"
"LAT165‑1","+3.94","TMO","+42.57","+19.59","+22.52","+100.95","+64.64","TMO","TMO","TMO"
