"problem","Vampire 5.0.1","Vampire 5.0","Zipperpin 2.1.9999","E 3.5.1","Leo‑III 1.8.0","LEO‑II 1.7.0"
"SEU494^1","+0.51","+0.43","+0.75","+0.55","+2.34","GUP"
"SEU733^1","+1.13","+1.08","+5.04","+0.60","TMO","GUP"
"SEV108^5","+5.61","+23.22","TMO","TMO","TMO","+70.89"
"SEU649^2","+0.49","+0.58","+0.94","+0.48","+2.36","+3.53"
"SEU497^1","+0.45","+0.38","+0.70","+0.44","+3.49","GUP"
"SEU673^1","+22.41","+1.33","+8.82","+0.72","TMO","GUP"
"SET615^3","+0.42","+0.49","+0.86","+0.42","+1.45","GUP"
"ITP080^1","+9.21","+12.31","+6.35","+0.79","+14.16","GUP"
"SEU705^2","+1.85","+0.57","+1.12","+0.43","+2.51","GUP"
"NUM926^2","+1.27","+1.97","+4.77","+0.97","TMO","GUP"
"SEU524^1","+0.85","+2.22","+0.98","+0.46","+4.20","GUP"
"AGT034^2","+0.70","+0.54","+1.54","+0.51","+2.95","+0.55"
"AGT037^1","+0.62","+0.48","+0.96","+0.60","+3.64","+0.61"
"SET671^3","+0.57","+0.50","+0.76","+0.34","+3.63","GUP"
"SEV208^5","+6.37","+5.43","+11.20","+0.57","TMO","TMO"
"SEU803^1","+1.29","+7.55","+1.14","+1.42","TMO","GUP"
"SET752^4","+0.47","+0.40","+0.77","+0.33","+4.87","GUP"
"ALG262^2","+1.66","+0.63","+0.82","+0.47","+2.59","+10.67"
"SEU713^1","+1.61","+0.94","+1.06","+0.89","TMO","GUP"
"NUM817^5","+0.43","+0.42","+1.03","+0.55","+3.38","TMO"
"SEV267^5","+3.83","+3.45","+7.57","+0.50","TMO","TMO"
"SWW474^2","+1.10","+8.04","+5.67","+0.90","+9.08","GUP"
"ITP054^1","+1.10","+3.15","+4.65","+9.41","+37.39","GUP"
"SEV129^5","+0.45","+0.52","+91.29","+0.42","TMO","+1.62"
"ITP152^1","+0.44","+0.67","+1.94","+0.54","TMO","GUP"
"SET741^4","+0.58","+0.43","+1.11","+0.42","+2.62","+0.38"
"SET640^3","+0.48","+0.45","+0.84","+0.49","+2.68","GUP"
"ITP077^1","+0.77","+0.49","+1.68","+0.75","+44.54","GUP"
"GEG020^1","+1.11","+0.67","+15.38","+0.95","+3.33","GUP"
"SEU640^1","+2.39","+30.83","+2.98","TMO","TMO","GUP"
"SEU997^5","+0.77","+0.80","+1.33","+0.43","+2.76","+0.97"
"SEU819^1","+1.73","+3.92","+9.27","+19.37","TMO","GUP"
"SEV429^1","+0.44","+0.38","+0.89","+0.43","+2.50","TMO"
"SEU611^1","+1.57","+0.87","+7.80","+180.00","TMO","GUP"
"SEU813^1","+3.38","+1.61","+1.64","+0.80","TMO","GUP"
"ITP058^1","+0.66","+0.68","+2.35","+0.63","TMO","GUP"
"ITP236^3","+6.57","+7.06","+12.37","+9.64","GUP","GUP"
"SEU753^2","+0.80","+0.47","+2.59","+0.43","TMO","TMO"
"SEU868^5","+0.69","+1.19","+7.17","+0.58","UNK","GUP"
"ITP170^1","+0.78","+0.54","+1.20","+0.56","TMO","GUP"
"SWW470^1","+1.50","+0.97","+0.95","+0.52","+28.45","GUP"
"SET609^3","+0.46","+0.48","+0.82","+0.40","+3.49","GUP"
"SEU807^2","+0.60","+1.38","+0.81","+0.33","+2.34","GUP"
"SWW474^3","+0.82","+5.76","+6.10","+1.54","+30.87","GUP"
"AGT039^1","+0.42","+0.60","+1.39","+0.45","+2.51","+0.56"
"ITP124^1","+0.93","+0.48","+1.47","+0.66","TMO","+18.02"
"CSR148^2","+0.50","+0.53","+1.03","+0.43","+3.02","+0.60"
"QUA005^1","+0.63","+0.96","+0.81","+0.62","+10.22","+91.44"
"NUM651^1","+0.44","+0.57","+1.28","+0.42","+5.25","GUP"
"SWX158^1*","+0.51","+0.79","+1.78","+0.73","TMO","GUP"
"SWX181^1*","+0.85","+2.06","+7.80","TMO","TMO","GUP"
"SWX180^1*","+0.54","+0.42","+9.64","+0.53","TMO","GUP"
"SWX176^1*","+0.57","+0.45","+10.88","+1.75","+96.16","GUP"
"SWX154^1*","+1.14","+1.43","+2.42","TMO","+15.87","GUP"
"NUM926^3","+1.51","+2.03","+20.56","+1.48","TMO","GUP"
"ITP269^3","+4.94","+5.19","+12.94","+31.61","TMO","GUP"
"ITP061^1","+0.73","+4.19","+4.69","+0.68","TMO","GUP"
"SEU676^1","+0.78","+0.90","+0.95","+1.03","TMO","GUP"
"ITP086^1","+0.82","+0.67","+16.17","+45.88","TMO","GUP"
"SEV010^5","+1.37","+0.73","+7.19","+13.98","TMO","+0.68"
"CSR128^2","+0.61","+0.62","+0.83","+0.45","+4.84","TMO"
"SEV199^5","+0.85","+0.69","+1.11","+0.43","+102.28","TMO"
"SEU689^2","+0.48","+0.52","+1.61","+0.54","TMO","TMO"
"ITP010^5","+22.85","+31.49","+6.51","+5.91","TMO","GUP"
